"fap","tr_age","annee_2017_2019","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","15-24 ans",79.64425,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","25-29 ans",149.80315,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","30-34 ans",188.2229,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","35-39 ans",238.15003,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","40-44 ans",293.27958,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","45-49 ans",319.8418,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","50-54 ans",296.58892,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","55-59 ans",258.54602,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","60 ans ou plus",147.96435,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","15-24 ans",5.45728,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","25-29 ans",5.01637,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","30-34 ans",5.78253,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","35-39 ans",7.30756,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","40-44 ans",6.44617,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","45-49 ans",5.72336,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","50-54 ans",6.48685,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","55-59 ans",3.22634,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","60 ans ou plus",0.64145,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","15-24 ans",35.52037,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","25-29 ans",35.26979,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","30-34 ans",33.52656,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","35-39 ans",37.99799,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","40-44 ans",32.79375,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","45-49 ans",33.07064,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","50-54 ans",30.48405,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","55-59 ans",25.53242,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","60 ans ou plus",9.69767,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","15-24 ans",14.36245,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","25-29 ans",19.10951,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","30-34 ans",22.70156,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","35-39 ans",27.12398,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","40-44 ans",28.83437,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","45-49 ans",24.66525,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","50-54 ans",22.64187,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","55-59 ans",14.36047,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","60 ans ou plus",5.62344,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","15-24 ans",14.81883,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","25-29 ans",10.79382,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","30-34 ans",9.36736,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","35-39 ans",8.00523,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","40-44 ans",7.67517,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","45-49 ans",8.43766,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","50-54 ans",7.74557,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","55-59 ans",6.47956,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","60 ans ou plus",2.77447,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","15-24 ans",88.1847,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","25-29 ans",77.06577,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","30-34 ans",95.98052,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","35-39 ans",126.68429,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","40-44 ans",145.85548,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","45-49 ans",215.69964,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","50-54 ans",222.35266,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","55-59 ans",204.51822,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
