"Fap","Age","Annee","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","Moins de 30 ans","1982-1984",42.3799402877343,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","30-49 ans","1982-1984",44.7835595919454,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","50 ans et plus","1982-1984",12.8365001203203,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Moins de 30 ans","2017-2019",11.6350217870724,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","30-49 ans","2017-2019",52.7115972740932,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","50 ans et plus","2017-2019",35.6533809388344,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","Moins de 30 ans","2003-2005",34.5670684182199,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","30-49 ans","2003-2005",55.2222943347534,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","50 ans et plus","2003-2005",10.2106372470267,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Moins de 30 ans","2017-2019",22.7253741816455,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","30-49 ans","2017-2019",54.8074755396806,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","50 ans et plus","2017-2019",22.467150278674,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","Moins de 30 ans","2003-2005",26.3829471840574,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","30-49 ans","2003-2005",54.300911901,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","50 ans et plus","2003-2005",19.3161409149426,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Moins de 30 ans","2017-2019",25.8458952838705,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","30-49 ans","2017-2019",50.1614935804914,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","50 ans et plus","2017-2019",23.9926111356381,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","Moins de 30 ans","1982-1984",45.1946463032832,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","30-49 ans","1982-1984",45.0785239375027,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","50 ans et plus","1982-1984",9.72682975921413,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Moins de 30 ans","2017-2019",18.6553444404254,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","30-49 ans","2017-2019",57.5874985857435,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","50 ans et plus","2017-2019",23.7571569738311,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","Moins de 30 ans","2003-2005",36.1515286077553,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","30-49 ans","2003-2005",47.126281141164,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","50 ans et plus","2003-2005",16.7221902510808,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Moins de 30 ans","2017-2019",33.6576008174758,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","30-49 ans","2017-2019",44.0032132389862,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","50 ans et plus","2017-2019",22.3391859435381,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","Moins de 30 ans","1982-1984",28.2403797066234,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","30-49 ans","1982-1984",47.8766207110676,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
