"Fap","annee","effectif","age","pourcentage"
"A0Z00","2003-2005",5.79363,"15-24 ans",0.016804997685757
"A0Z00","2003-2005",14.23661,"25-29 ans",0.0412946974699844
"A0Z00","2003-2005",28.28549,"30-34 ans",0.082044865479933
"A0Z00","2003-2005",38.9013,"35-39 ans",0.112837073902362
"A0Z00","2003-2005",44.62705,"40-44 ans",0.129445178924468
"A0Z00","2003-2005",53.71454,"45-49 ans",0.155804343803713
"A0Z00","2003-2005",59.02028,"50-54 ans",0.17119416821798
"A0Z00","2003-2005",66.71346,"55-59 ans",0.193508998833002
"A0Z00","2003-2005",33.46401,"60 ans ou plus",0.0970656756828017
"A0Z01","2003-2005",4.07546,"15-24 ans",0.022761449126866
"A0Z01","2003-2005",7.65425,"25-29 ans",0.0427489956911157
"A0Z01","2003-2005",19.09291,"30-34 ans",0.106633925900103
"A0Z01","2003-2005",24.46432,"35-39 ans",0.136633257375455
"A0Z01","2003-2005",27.26536,"40-44 ans",0.152277069230391
"A0Z01","2003-2005",24.9331,"45-49 ans",0.13925139425367
"A0Z01","2003-2005",32.02359,"50-54 ans",0.178851789649418
"A0Z01","2003-2005",27.61643,"55-59 ans",0.154237795613417
"A0Z01","2003-2005",11.92557,"60 ans ou plus",0.0666043231595648
"A0Z02","2003-2005",0.38549,"15-24 ans",0.0472888262989124
"A0Z02","2003-2005",1.39336,"25-29 ans",0.170926247144809
"A0Z02","2003-2005",0.39355,"30-34 ans",0.0482775625565825
"A0Z02","2003-2005",1.31016,"35-39 ans",0.160719937388215
"A0Z02","2003-2005",1.18527,"40-44 ans",0.14539943227402
"A0Z02","2003-2005",1.47682,"45-49 ans",0.181164451619393
"A0Z02","2003-2005",1.28386,"50-54 ans",0.157493663991599
"A0Z02","2003-2005",0.72331,"55-59 ans",0.0887298787264684
"A0Z02","2003-2005",0,"60 ans ou plus",0
"A0Z40","2003-2005",15.69115,"15-24 ans",0.208261523324709
"A0Z40","2003-2005",9.89015,"25-29 ans",0.131267479114652
"A0Z40","2003-2005",9.71521,"30-34 ans",0.128945579770727
"A0Z40","2003-2005",7.57958,"35-39 ans",0.100600330566052
"A0Z40","2003-2005",7.98911,"40-44 ans",0.106035836672817
"A0Z40","2003-2005",9.18395,"45-49 ans",0.121894406537313
"A0Z40","2003-2005",8.32399,"50-54 ans",0.110480547158089
"A0Z40","2003-2005",5.06263,"55-59 ans",0.0671939938009243
"A0Z40","2003-2005",1.90772,"60 ans ou plus",0.0253203030547165
"A0Z41","2003-2005",7.95073,"15-24 ans",0.271323469441033
"A0Z41","2003-2005",2.06999,"25-29 ans",0.0706396605730849
"A0Z41","2003-2005",5.16675,"30-34 ans",0.176318468333657
"A0Z41","2003-2005",2.51891,"35-39 ans",0.0859593270567246
"A0Z41","2003-2005",3.79751,"40-44 ans",0.129592325287994
"A0Z41","2003-2005",3.53279,"45-49 ans",0.120558595199005
"A0Z41","2003-2005",3.21705,"50-54 ans",0.109783776755754
"A0Z41","2003-2005",0.97252,"55-59 ans",0.0331878331298879
"A0Z41","2003-2005",0.07726,"60 ans ou plus",0.00263654422285931
"A0Z42","2003-2005",3.64779,"15-24 ans",0.137536092106226
"A0Z42","2003-2005",2.99852,"25-29 ans",0.11305604842997
"A0Z42","2003-2005",2.45824,"30-34 ans",0.092685358274245
"A0Z42","2003-2005",2.78501,"35-39 ans",0.105005878045819
"A0Z42","2003-2005",5.2562,"40-44 ans",0.198179502473756
"A0Z42","2003-2005",4.74031,"45-49 ans",0.178728411660776
"A0Z42","2003-2005",2.15841,"50-54 ans",0.08138058291815
"A0Z42","2003-2005",2.47794,"55-59 ans",0.0934281260910581
"A0Z42","2003-2005",0,"60 ans ou plus",0
"A0Z43","2003-2005",2.20465,"15-24 ans",0.146489053437458
"A0Z43","2003-2005",1.80978,"25-29 ans",0.120251722101033
"A0Z43","2003-2005",2.99581,"30-34 ans",0.199058068708625
"A0Z43","2003-2005",2.30003,"35-39 ans",0.152826624442772
"A0Z43","2003-2005",1.17934,"40-44 ans",0.0783618262676305
"A0Z43","2003-2005",1.40912,"45-49 ans",0.0936296713672422
"A0Z43","2003-2005",2.03848,"50-54 ans",0.13544780606953
"A0Z43","2003-2005",1.05069,"55-59 ans",0.0698136137510274
"A0Z43","2003-2005",0.06203,"60 ans ou plus",0.00412161385468238
"A1Z00","2003-2005",1.06703,"15-24 ans",0.0395202443889868
"A1Z00","2003-2005",1.07943,"25-29 ans",0.0399795107923901
"A1Z00","2003-2005",3.31227,"30-34 ans",0.122678575000056
"A1Z00","2003-2005",3.76223,"35-39 ans",0.139344019425487
"A1Z00","2003-2005",3.37527,"40-44 ans",0.12501194463025
"A1Z00","2003-2005",3.46581,"45-49 ans",0.128365330127358
"A1Z00","2003-2005",4.97046,"50-54 ans",0.184093974795163
"A1Z00","2003-2005",3.9807,"55-59 ans",0.147435626776417
"A1Z00","2003-2005",1.98638,"60 ans ou plus",0.0735707740638928
"A1Z01","2003-2005",1.87459,"15-24 ans",0.0215484579654542
"A1Z01","2003-2005",4.43954,"25-29 ans",0.0510326210403089
"A1Z01","2003-2005",6.61267,"30-34 ans",0.076012803618082
"A1Z01","2003-2005",11.56106,"35-39 ans",0.132894667871958
"A1Z01","2003-2005",10.62252,"40-44 ans",0.122106127583737
"A1Z01","2003-2005",13.03525,"45-49 ans",0.149840518030176
"A1Z01","2003-2005",14.38195,"50-54 ans",0.165320867515705
"A1Z01","2003-2005",15.40822,"55-59 ans",0.17711786630275
"A1Z01","2003-2005",9.05836,"60 ans ou plus",0.10412607007183
"A1Z40","2003-2005",7.43072,"15-24 ans",0.202704907165783
"A1Z40","2003-2005",4.6018,"25-29 ans",0.125533924275912
"A1Z40","2003-2005",4.91948,"30-34 ans",0.134200015167296
"A1Z40","2003-2005",4.49588,"35-39 ans",0.122644499863876
