"Fap","Annee","Age","effectif_age","Pourcentage"
"A0Z","1982-1984","Moins de 30 ans",271.34451,16.8505532787891
"A0Z","1982-1984","De 30 à 49 ans",616.78104,38.3022371665707
"A0Z","1982-1984","50 ans ou plus",722.17475,44.8472095546402
"A1Z","1982-1984","Moins de 30 ans",88.28231,26.5361920532797
"A1Z","1982-1984","De 30 à 49 ans",132.06365,39.6961336836011
"A1Z","1982-1984","50 ans ou plus",112.34047,33.7676742631192
"A2Z","1982-1984","Moins de 30 ans",7.13288,26.5714008985181
"A2Z","1982-1984","De 30 à 49 ans",13.77201,51.3034845515977
"A2Z","1982-1984","50 ans ou plus",5.93931,22.1251145498841
"A3Z","1982-1984","Moins de 30 ans",17.0678,29.4683192001264
"A3Z","1982-1984","De 30 à 49 ans",30.95074,53.4378353273486
"A3Z","1982-1984","50 ans ou plus",9.90061,17.0938454725251
"B0Z","1982-1984","Moins de 30 ans",139.39224,38.8988837547627
"B0Z","1982-1984","De 30 à 49 ans",154.63101,43.1514242318766
"B0Z","1982-1984","50 ans ou plus",64.32184,17.9496920133606
"B1Z","1982-1984","Moins de 30 ans",19.16462,19.3183944195799
"B1Z","1982-1984","De 30 à 49 ans",62.74183,63.245262287811
"B1Z","1982-1984","50 ans ou plus",17.29755,17.4363432926092
"B2Z","1982-1984","Moins de 30 ans",80.5744,22.0535529119925
"B2Z","1982-1984","De 30 à 49 ans",212.21054,58.0829192941245
"B2Z","1982-1984","50 ans ou plus",72.57297,19.863527793883
"B3Z","1982-1984","Moins de 30 ans",98.98059,68.828966739285
"B3Z","1982-1984","De 30 à 49 ans",35.17539,24.4602072825731
"B3Z","1982-1984","50 ans ou plus",9.65061,6.71082597814189
"B4Z","1982-1984","Moins de 30 ans",145.45666,29.6395492525113
"B4Z","1982-1984","De 30 à 49 ans",259.69494,52.9177623407411
"B4Z","1982-1984","50 ans ou plus",85.60033,17.4426884067476
"B5Z","1982-1984","Moins de 30 ans",17.17417,23.4067894554643
"B5Z","1982-1984","De 30 à 49 ans",45.90482,62.5639816498257
"B5Z","1982-1984","50 ans ou plus",10.29361,14.02922889471
"B6Z","1982-1984","Moins de 30 ans",58.55075,25.4292835882983
"B6Z","1982-1984","De 30 à 49 ans",136.94633,59.4774116804085
"B6Z","1982-1984","50 ans ou plus",34.75223,15.0933047312932
"B7Z","1982-1984","Moins de 30 ans",7.8264,10.3743839778705
"B7Z","1982-1984","De 30 à 49 ans",52.71885,69.8821415685065
"B7Z","1982-1984","50 ans ou plus",14.89441,19.7434744536229
"C0Z","1982-1984","Moins de 30 ans",41.5502,50.0626593518104
"C0Z","1982-1984","De 30 à 49 ans",34.95203,42.112711167317
"C0Z","1982-1984","50 ans ou plus",6.49416,7.8246294808726
"C1Z","1982-1984","Moins de 30 ans",33.13997,39.7188159371594
"C1Z","1982-1984","De 30 à 49 ans",41.56132,49.8119466971569
"C1Z","1982-1984","50 ans ou plus",8.73516,10.4692373656837
"C2Z","1982-1984","Moins de 30 ans",53.58042,33.7931128435149
"C2Z","1982-1984","De 30 à 49 ans",90.02512,56.7787456483351
"C2Z","1982-1984","50 ans ou plus",14.94872,9.42814150814995
"D0Z","1982-1984","Moins de 30 ans",55.26249,48.5248444614363
"D0Z","1982-1984","De 30 à 49 ans",44.75541,39.2987957845875
"D0Z","1982-1984","50 ans ou plus",13.86704,12.1763597539763
"D1Z","1982-1984","Moins de 30 ans",53.14612,33.1836038925867
"D1Z","1982-1984","De 30 à 49 ans",85.94775,53.6644272706844
"D1Z","1982-1984","50 ans ou plus",21.0639,13.1519688367289
"D2Z","1982-1984","Moins de 30 ans",58.92115,33.0293518811312
"D2Z","1982-1984","De 30 à 49 ans",93.74656,52.5513863508363
"D2Z","1982-1984","50 ans ou plus",25.72256,14.4192617680325
"D3Z","1982-1984","Moins de 30 ans",203.81353,57.2737482350782
"D3Z","1982-1984","De 30 à 49 ans",123.70971,34.7637312634472
"D3Z","1982-1984","50 ans ou plus",28.33531,7.96252050147453
"D4Z","1982-1984","Moins de 30 ans",51.41334,30.8632177145402
"D4Z","1982-1984","De 30 à 49 ans",90.84569,54.5342961359372
"D4Z","1982-1984","50 ans ou plus",24.32548,14.6024861495225
"D6Z","1982-1984","Moins de 30 ans",60.72302,19.8452331813314
"D6Z","1982-1984","De 30 à 49 ans",198.18273,64.7692174954875
"D6Z","1982-1984","50 ans ou plus",47.07715,15.3855493231811
"E0Z","1982-1984","Moins de 30 ans",171.53487,43.2618422242306
"E0Z","1982-1984","De 30 à 49 ans",172.12636,43.4110185815346
"E0Z","1982-1984","50 ans ou plus",52.84262,13.3271391942348
"E1Z","1982-1984","Moins de 30 ans",67.65913,25.6147020740149
"E1Z","1982-1984","De 30 à 49 ans",154.93642,58.6565366523993
"E1Z","1982-1984","50 ans ou plus",41.54623,15.7287612735857
"E2Z","1982-1984","Moins de 30 ans",33.50586,16.5693335001516
"E2Z","1982-1984","De 30 à 49 ans",131.84399,65.1995513710333
"E2Z","1982-1984","50 ans ou plus",36.86625,18.2311151288152
"ENS","1982-1984","Moins de 30 ans",7307.9881,32.6181514219332
"ENS","1982-1984","De 30 à 49 ans",10883.1131,48.5752064973703
"ENS","1982-1984","50 ans ou plus",4213.56547,18.8066420806965
"F0Z","1982-1984","Moins de 30 ans",149.53104,54.0307536300045
"F0Z","1982-1984","De 30 à 49 ans",97.8295,35.349193132386
"F0Z","1982-1984","50 ans ou plus",29.39118,10.6200532376095
"F1Z","1982-1984","Moins de 30 ans",42.06746,27.8640834189884
"F1Z","1982-1984","De 30 à 49 ans",71.30243,47.2283531617212
"F1Z","1982-1984","50 ans ou plus",37.60389,24.9075634192904
"F2Z","1982-1984","Moins de 30 ans",48.50061,56.3204512082327
"F2Z","1982-1984","De 30 à 49 ans",26.92363,31.2645756365437
"F2Z","1982-1984","50 ans ou plus",10.69121,12.4149731552236
"F3Z","1982-1984","Moins de 30 ans",23.31527,25.231258608045
"F3Z","1982-1984","De 30 à 49 ans",43.3738,46.938146743041
"F3Z","1982-1984","50 ans ou plus",25.71722,27.8305946489141
"F4Z","1982-1984","Moins de 30 ans",37.32597,30.8365811071883
"F4Z","1982-1984","De 30 à 49 ans",66.12007,54.6246193030742
"F4Z","1982-1984","50 ans ou plus",17.59841,14.5387995897375
"F5Z","1982-1984","Moins de 30 ans",5.71668,14.4102386229121
"F5Z","1982-1984","De 30 à 49 ans",25.17474,63.4588626037787
"F5Z","1982-1984","50 ans ou plus",8.77954,22.1308987733092
"G0A","1982-1984","Moins de 30 ans",65.93755,31.593259758327
"G0A","1982-1984","De 30 à 49 ans",109.60981,52.5183480337209
"G0A","1982-1984","50 ans ou plus",33.16029,15.8883922079521
"G0B","1982-1984","Moins de 30 ans",77.57106,35.5467907969118
"G0B","1982-1984","De 30 à 49 ans",105.08612,48.1555147409249
"G0B","1982-1984","50 ans ou plus",35.56522,16.2976944621634
"G1Z","1982-1984","Moins de 30 ans",57.34433,23.5150914563009
"G1Z","1982-1984","De 30 à 49 ans",145.20264,59.5429985718962
"G1Z","1982-1984","50 ans ou plus",41.31485,16.9419099718029
"H0Z","1982-1984","Moins de 30 ans",9.343,9.04029564466365
"H0Z","1982-1984","De 30 à 49 ans",61.44491,59.4541530835652
"H0Z","1982-1984","50 ans ou plus",32.56048,31.5055512717711
"J0Z","1982-1984","Moins de 30 ans",231.22628,52.6053657062236
"J0Z","1982-1984","De 30 à 49 ans",152.7126,34.7430325434818
"J0Z","1982-1984","50 ans ou plus",55.60997,12.6516017502946
"J1Z","1982-1984","Moins de 30 ans",108.62126,29.2744310512137
"J1Z","1982-1984","De 30 à 49 ans",191.95652,51.7340519670912
"J1Z","1982-1984","50 ans ou plus",70.46704,18.9915169816951
"J3Z","1982-1984","Moins de 30 ans",183.68049,28.0469160377161
"J3Z","1982-1984","De 30 à 49 ans",352.15476,53.7719329146066
"J3Z","1982-1984","50 ans ou plus",119.06916,18.1811510476773
"J4Z","1982-1984","Moins de 30 ans",14.19273,26.3097618618167
"J4Z","1982-1984","De 30 à 49 ans",31.78861,58.9281103084583
"J4Z","1982-1984","50 ans ou plus",7.96339,14.762127829725
"J5Z","1982-1984","Moins de 30 ans",61.79304,45.1946463032832
"J5Z","1982-1984","De 30 à 49 ans",61.63427,45.0785239375027
"J5Z","1982-1984","50 ans ou plus",13.29915,9.72682975921413
"J6Z","1982-1984","Moins de 30 ans",4.01517,10.8054495912807
"J6Z","1982-1984","De 30 à 49 ans",23.55165,63.3811686345746
"J6Z","1982-1984","50 ans ou plus",9.59193,25.8133817741447
"K0Z","1982-1984","Moins de 30 ans",67.93766,43.2841919144715
"K0Z","1982-1984","De 30 à 49 ans",58.13344,37.0377633496416
"K0Z","1982-1984","50 ans ou plus",30.88611,19.6780447358869
"L0Z","1982-1984","Moins de 30 ans",277.04586,47.004818553684
"L0Z","1982-1984","De 30 à 49 ans",252.52726,42.8448850892736
"L0Z","1982-1984","50 ans ou plus",59.82573,10.1502963570424
"L1Z","1982-1984","Moins de 30 ans",150.61669,45.6998186561488
"L1Z","1982-1984","De 30 à 49 ans",143.40563,43.5118530706708
"L1Z","1982-1984","50 ans ou plus",35.55599,10.7883282731804
"L2Z","1982-1984","Moins de 30 ans",96.77871,43.9314844913392
"L2Z","1982-1984","De 30 à 49 ans",91.18011,41.3900700720603
"L2Z","1982-1984","50 ans ou plus",32.33583,14.6784454366005
"L3Z","1982-1984","Moins de 30 ans",38.09063,22.1734099631534
"L3Z","1982-1984","De 30 à 49 ans",105.35777,61.3311207247983
"L3Z","1982-1984","50 ans ou plus",28.33677,16.4954693120483
"L4Z","1982-1984","Moins de 30 ans",33.11022,24.0591541712127
"L4Z","1982-1984","De 30 à 49 ans",80.55376,58.5334477062027
"L4Z","1982-1984","50 ans ou plus",23.95607,17.4073981225846
"L5Z","1982-1984","Moins de 30 ans",21.724,9.70743721780667
"L5Z","1982-1984","De 30 à 49 ans",139.05167,62.1356728298735
"L5Z","1982-1984","50 ans ou plus",63.01151,28.1568899523199
"L6Z","1982-1984","Moins de 30 ans",5.81724,4.34378541734088
"L6Z","1982-1984","De 30 à 49 ans",72.32869,54.0084832115177
"L6Z","1982-1984","50 ans ou plus",55.77505,41.6477313711414
"M0Z","1982-1984","Moins de 30 ans",23.88043,52.27434166271
"M0Z","1982-1984","De 30 à 49 ans",19.68177,43.0834607880543
"M0Z","1982-1984","50 ans ou plus",2.12069,4.64219754923561
"M1Z","1982-1984","Moins de 30 ans",60.17082,45.3852804801527
"M1Z","1982-1984","De 30 à 49 ans",65.31357,49.2643227001075
"M1Z","1982-1984","50 ans ou plus",7.09344,5.35039681973977
"M2Z","1982-1984","Moins de 30 ans",11.43213,26.6294513910888
"M2Z","1982-1984","De 30 à 49 ans",29.27217,68.1851788010361
"M2Z","1982-1984","50 ans ou plus",2.2261,5.18536980787507
"N0Z","1982-1984","Moins de 30 ans",19.65702,15.0838361785178
"N0Z","1982-1984","De 30 à 49 ans",80.94006,62.1094451406877
"N0Z","1982-1984","50 ans ou plus",29.72136,22.8067186807945
"P0Z","1982-1984","Moins de 30 ans",313.62971,38.8881562918716
"P0Z","1982-1984","De 30 à 49 ans",390.06938,48.366205529806
"P0Z","1982-1984","50 ans ou plus",102.7925,12.7456381783225
"P1Z","1982-1984","Moins de 30 ans",89.77051,24.325854911963
"P1Z","1982-1984","De 30 à 49 ans",205.5377,55.6962444475203
"P1Z","1982-1984","50 ans ou plus",73.72511,19.9779006405167
"P2Z","1982-1984","Moins de 30 ans",32.27018,12.8941061357622
"P2Z","1982-1984","De 30 à 49 ans",151.10893,60.3781751908872
"P2Z","1982-1984","50 ans ou plus",66.89167,26.7277186733505
"P3Z","1982-1984","Moins de 30 ans",4.72717,13.3301054977729
"P3Z","1982-1984","De 30 à 49 ans",20.29186,57.2208392222063
"P3Z","1982-1984","50 ans ou plus",10.44333,29.4490552800208
