"fap","Non_immigres","Immigrés","lieu_naissance","effectif","pourcentage","pourcentage_immigres","pourcentage_emploi","id"
"ENS",23662000,2697300,"Espagne",72000,0.333024976873265,2.66933600266934,0.273148376474337,"Espagne"
"A",764000,48100,"Espagne",2000,0.00925069380203515,4.15800415800416,0.24627508927472,"Espagne"
"A0Z",424700,18700,"Espagne",700,0.0032377428307123,3.74331550802139,0.15787099684258,"Espagne"
"A1Z",254000,25300,"Espagne",1200,0.00555041628122109,4.74308300395257,0.429645542427497,"Espagne"
"A2Z",57300,2900,"Espagne",100,0.000462534690101758,3.44827586206897,0.166112956810631,"Espagne"
"A3Z",28000,1300,"Espagne",0,0,0,0,"Espagne"
"B",1568700,324000,"Espagne",6500,0.0300647548566142,2.00617283950617,0.34342473714799,"Espagne"
"B0Z",197900,73200,"Espagne",900,0.00416281221091582,1.22950819672131,0.33198081888602,"Espagne"
"B1Z",71900,17100,"Espagne",300,0.00138760407030527,1.75438596491228,0.337078651685393,"Espagne"
"B2Z",232000,76500,"Espagne",1300,0.00601295097132285,1.69934640522876,0.421393841166937,"Espagne"
"B3Z",168800,34100,"Espagne",500,0.00231267345050879,1.46627565982405,0.246426811237063,"Espagne"
"B4Z",405800,68500,"Espagne",1600,0.00740055504162812,2.33576642335766,0.337339236769977,"Espagne"
"B5Z",48100,5700,"Espagne",100,0.000462534690101758,1.75438596491228,0.185873605947955,"Espagne"
"B6Z",289200,29300,"Espagne",800,0.00370027752081406,2.73037542662116,0.251177394034537,"Espagne"
"B7Z",155100,19500,"Espagne",1000,0.00462534690101758,5.12820512820513,0.572737686139748,"Espagne"
"C",164000,17300,"Espagne",500,0.00231267345050879,2.89017341040462,0.275785990071704,"Espagne"
"C0Z",35500,3900,"Espagne",100,0.000462534690101758,2.56410256410256,0.253807106598985,"Espagne"
"C1Z",42400,5500,"Espagne",100,0.000462534690101758,1.81818181818182,0.208768267223382,"Espagne"
"C2Z",86000,7900,"Espagne",200,0.000925069380203515,2.53164556962025,0.212992545260916,"Espagne"
"D",739900,73400,"Espagne",2400,0.0111008325624422,3.26975476839237,0.295094061232018,"Espagne"
"D0Z",50300,5500,"Espagne",100,0.000462534690101758,1.81818181818182,0.17921146953405,"Espagne"
"D1Z",78300,7100,"Espagne",300,0.00138760407030527,4.22535211267606,0.351288056206089,"Espagne"
"D2Z",102600,11200,"Espagne",300,0.00138760407030527,2.67857142857143,0.263620386643234,"Espagne"
"D3Z",205700,26000,"Espagne",700,0.0032377428307123,2.69230769230769,0.302114803625378,"Espagne"
"D4Z",93500,9400,"Espagne",300,0.00138760407030527,3.19148936170213,0.291545189504373,"Espagne"
"D6Z",209500,14100,"Espagne",700,0.0032377428307123,4.9645390070922,0.313059033989267,"Espagne"
"E",679300,78900,"Espagne",1700,0.00786308973172988,2.15462610899873,0.224215246636771,"Espagne"
"E0Z",251000,41400,"Espagne",700,0.0032377428307123,1.69082125603865,0.239398084815321,"Espagne"
"E1Z",241000,27900,"Espagne",600,0.00277520814061055,2.1505376344086,0.223131275567125,"Espagne"
"E2Z",187300,9600,"Espagne",400,0.00185013876040703,4.16666666666667,0.203148806500762,"Espagne"
"F",228200,25200,"Espagne",700,0.0032377428307123,2.77777777777778,0.276243093922652,"Espagne"
"F0Z",21000,3200,"Espagne",100,0.000462534690101758,3.125,0.413223140495868,"Espagne"
"F1Z",45900,9100,"Espagne",200,0.000925069380203515,2.1978021978022,0.363636363636364,"Espagne"
"F2Z",28900,2600,"Espagne",100,0.000462534690101758,3.84615384615385,0.317460317460317,"Espagne"
"F3Z",61300,4300,"Espagne",100,0.000462534690101758,2.32558139534884,0.152439024390244,"Espagne"
"F4Z",48900,4100,"Espagne",100,0.000462534690101758,2.4390243902439,0.188679245283019,"Espagne"
"F5Z",22300,1800,"Espagne",100,0.000462534690101758,5.55555555555556,0.4149377593361,"Espagne"
