"Fap","type_employeur","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","Etablissements de moins de 10 salariés",48.09258,2.54744673560863,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Etablissements de 10 à 50 salariés",118.5827,6.28128314211169,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Etablissements de 50 à 500 salariés",163.16193,8.64262898671904,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Etablissements de plus de 500 salariés",37.58264,1.99073897851923,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Etat, collectivités, hôpitaux publics",1512.87105,80.1362376008795,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Non Renseigné",2.63432,0.139538986774021,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Particuliers",0.35365,0.0187327138208845,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Taille inconnue, hors particulier, Etat",4.59495,0.24339285556701,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","Etablissements de moins de 10 salariés",4.38772,9.5203316966778,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Etablissements de 10 à 50 salariés",10.88668,23.6215630613595,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Etablissements de 50 à 500 salariés",21.733,47.1555543115556,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Etablissements de plus de 500 salariés",5.85101,12.6953305955209,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Etat, collectivités, hôpitaux publics",2.72393,5.91029443960225,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Non Renseigné",0,0,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Particuliers",0,0,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Taille inconnue, hors particulier, Etat",0.50555,1.09692589528399,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","Etablissements de moins de 10 salariés",63.66172,23.2432616169447,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Etablissements de 10 à 50 salariés",73.99597,27.0163559719968,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Etablissements de 50 à 500 salariés",91.88143,33.5464407061102,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Etablissements de plus de 500 salariés",20.73775,7.57147228502143,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Etat, collectivités, hôpitaux publics",13.13086,4.79415281640952,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Non Renseigné",2.45042,0.894662493118212,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Particuliers",0.18853,0.0688333917563424,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Taille inconnue, hors particulier, Etat",7.84655,2.86482071864281,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","Etablissements de moins de 10 salariés",32.8708,19.1409225001338,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Etablissements de 10 à 50 salariés",36.86409,21.4662463258563,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Etablissements de 50 à 500 salariés",58.26887,33.930416200408,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Etablissements de plus de 500 salariés",30.82248,17.9481698328585,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Etat, collectivités, hôpitaux publics",7.88366,4.59071653496126,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Non Renseigné",1.66534,0.969740434561155,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Particuliers",0.26926,0.156792192230978,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Taille inconnue, hors particulier, Etat",3.08599,1.7969959789901,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","Etablissements de moins de 10 salariés",12.44328,16.469835188878,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Etablissements de 10 à 50 salariés",19.16008,25.3601429691944,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Etablissements de 50 à 500 salariés",34.60174,45.7986121865302,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Etablissements de plus de 500 salariés",4.65506,6.16140366481655,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Etat, collectivités, hôpitaux publics",1.63441,2.16329322582584,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Non Renseigné",0.56051,0.741886972061869,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Particuliers",0.15397,0.2037935756514,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Taille inconnue, hors particulier, Etat",2.34289,3.10103221704168,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","Etablissements de moins de 10 salariés",94.16195,7.45876444576943,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
