"Fap","diplome","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","Diplôme supérieur (bac +3 ou plus)",67.15438,0.292678757745784,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Bac + 2",33.63129,0.146575162760615,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Bac, brevet professionnel ou équivalent",76.91243,0.335207241398246,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","CAP, BEP ou autre diplôme équivalent",17.09591,0.0745090595927433,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Aucun diplôme, CEP ou brevet des collèges",14.08938,0.0614057078005678,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","En cours d'études initiales",20.56401,0.0896240707020432,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","Inconnu",0,0,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","Diplôme supérieur (bac +3 ou plus)",2.82807,0.204523857392255,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Bac + 2",1.7536,0.126819009544693,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Bac, brevet professionnel ou équivalent",5.1276,0.370824106604337,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","CAP, BEP ou autre diplôme équivalent",1.49931,0.108428951414492,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","Aucun diplôme, CEP ou brevet des collèges",0.70002,0.0506249105049474,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","En cours d'études initiales",1.91898,0.138779164539276,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","Diplôme supérieur (bac +3 ou plus)",21.9085,0.321135975730953,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Bac + 2",14.64033,0.214598747498603,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Bac, brevet professionnel ou équivalent",11.68381,0.171261917730793,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","CAP, BEP ou autre diplôme équivalent",3.01405,0.0441801076135691,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","Aucun diplôme, CEP ou brevet des collèges",4.06328,0.0595597775962785,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","En cours d'études initiales",12.91191,0.189263473829804,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","Diplôme supérieur (bac +3 ou plus)",11.04297,0.329916942444678,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Bac + 2",6.05438,0.180879105711436,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Bac, brevet professionnel ou équivalent",7.67715,0.229360566468003,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
