"Fap","diplome","Annee","Pourcentage"
"A0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00529663318078001
"A0Z","Bac + 2","1982-1984",0.00498280972809854
"A0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.033044171947307
"A0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.146970953181838
"A0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.801408842810251
"A0Z","En cours d'études initiales","1982-1984",0.0082965891517253
"A1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00699526599252233
"A1Z","Bac + 2","1982-1984",0.00841474082410698
"A1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0456857241122135
"A1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.187965892927039
"A1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.735136228283679
"A1Z","En cours d'études initiales","1982-1984",0.0158021478604387
"A2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.160237280394752
"A2Z","Bac + 2","1982-1984",0.123266151819071
"A2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.269465757767323
"A2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.155547252496723
"A2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.286313351231682
"A2Z","En cours d'études initiales","1982-1984",0.0051702062904487
"A3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0186793141819243
"A3Z","Bac + 2","1982-1984",0.0286508002966204
"A3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0595616475725213
"A3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.254096788367923
"A3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.637493644157416
"A3Z","En cours d'études initiales","1982-1984",0.00151780542359479
"B0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.000230141292856595
"B0Z","Bac + 2","1982-1984",0.00071062786741763
"B0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.00607891700368818
"B0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.159352599455251
"B0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.792093615461387
"B0Z","En cours d'études initiales","1982-1984",0.0415340989193991
"B1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00100631002654933
"B1Z","Bac + 2","1982-1984",0.00218287525041828
"B1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0166178749611155
"B1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.240524829538158
"B1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.739668110223759
"B1Z","En cours d'études initiales","1982-1984",0
"B2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0011335185745113
"B2Z","Bac + 2","1982-1984",0.00407915054697184
"B2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0204426930051854
"B2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.291517499018018
"B2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.679033954456661
"B2Z","En cours d'études initiales","1982-1984",0.00379318439865258
"B3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"B3Z","Bac + 2","1982-1984",0.000870683264884922
"B3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.012984661343777
"B3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.304299872189454
"B3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.455705092812152
"B3Z","En cours d'études initiales","1982-1984",0.226139690389732
"B4Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0022509947592258
"B4Z","Bac + 2","1982-1984",0.00422421169539184
"B4Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0381837528012117
"B4Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.510396637877647
"B4Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.438744997676219
"B4Z","En cours d'études initiales","1982-1984",0.00619940519030471
"B5Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"B5Z","Bac + 2","1982-1984",0
"B5Z","Bac, brevet professionnel ou équivalent","1982-1984",0.00891409176096959
"B5Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.160398999135781
"B5Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.82937170406551
"B5Z","En cours d'études initiales","1982-1984",0.00131520503773957
"B6Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0216207379731127
"B6Z","Bac + 2","1982-1984",0.0784371514511813
"B6Z","Bac, brevet professionnel ou équivalent","1982-1984",0.183126064525449
"B6Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.332881301576973
"B6Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.371208365401833
"B6Z","En cours d'études initiales","1982-1984",0.0127263790714509
"B7Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.522525356361012
"B7Z","Bac + 2","1982-1984",0.115417555622276
"B7Z","Bac, brevet professionnel ou équivalent","1982-1984",0.154938815331195
"B7Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.0684698298573761
"B7Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.131163121780125
"B7Z","En cours d'études initiales","1982-1984",0.00748532104801653
"C0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"C0Z","Bac + 2","1982-1984",0.00501792969765669
"C0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0187459983194448
"C0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.247832977775657
"C0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.698380700459466
"C0Z","En cours d'études initiales","1982-1984",0.0300223937477755
"C1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00186788845068451
"C1Z","Bac + 2","1982-1984",0.0097494548546283
"C1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0417719064303543
"C1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.446576113128481
"C1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.491912168852801
"C1Z","En cours d'études initiales","1982-1984",0.00812246828305036
"C2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0287654189319531
"C2Z","Bac + 2","1982-1984",0.174374994757316
"C2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.251643175551185
"C2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.33430597611783
"C2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.196738567810252
"C2Z","En cours d'études initiales","1982-1984",0.0141718668314641
"D0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"D0Z","Bac + 2","1982-1984",0.00114273210439728
"D0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.012330425369601
"D0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.24973051753278
"D0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.714556777295264
"D0Z","En cours d'études initiales","1982-1984",0.0222395476979577
"D1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00253631169666709
"D1Z","Bac + 2","1982-1984",0.000515179532980481
"D1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0288216443586624
"D1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.590527864525578
"D1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.375013736455855
"D1Z","En cours d'études initiales","1982-1984",0.00258526343025777
"D2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00230830962314763
"D2Z","Bac + 2","1982-1984",0.00246056007087382
"D2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0174397394297492
"D2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.449157992240384
