"Fap","sumeffsal","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P",1881.71815,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61",44.72295,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61",262.4779,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z",169.22237,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60",75.15455,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z",1259.79154,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",886.09556,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z",103.84167,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",17.31332,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z",216.44602,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80",21.41379,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80",79.35573,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80",10.15167,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80",71.2094,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61",0,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61",314.14788,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60",271.91342,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61",169.21427,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60",23.8013,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60",30.63588,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93",39.85739,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46",49.34246,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41",18.56619,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00",0,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40",54.50498,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z",122.01693,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A",433.69934,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"S1Z20",105.9321,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
