Fap3;Type_mmo;Annee;Taux;;;
A0Z;Taux d'entrée;2007;65.99;;;
A1Z;Taux d'entrée;2007;89.24;;;
A2Z;Taux d'entrée;2007;14.25;;;
A3Z;Taux d'entrée;2007;55.84;;;
B0Z;Taux d'entrée;2007;45.29;;;
B1Z;Taux d'entrée;2007;49.4;;;
B2Z;Taux d'entrée;2007;33.26;;;
B3Z;Taux d'entrée;2007;66.47;;;
B4Z;Taux d'entrée;2007;26.03;;;
B5Z;Taux d'entrée;2007;25.63;;;
B6Z;Taux d'entrée;2007;21.64;;;
B7Z;Taux d'entrée;2007;28.14;;;
C0Z;Taux d'entrée;2007;27.39;;;
C1Z;Taux d'entrée;2007;20.37;;;
C2Z;Taux d'entrée;2007;13.82;;;
D0Z;Taux d'entrée;2007;18.42;;;
D1Z;Taux d'entrée;2007;12.75;;;
D2Z;Taux d'entrée;2007;22.39;;;
D3Z;Taux d'entrée;2007;23.07;;;
D4Z;Taux d'entrée;2007;13.61;;;
D6Z;Taux d'entrée;2007;6.35;;;
E0Z;Taux d'entrée;2007;89.97;;;
E1Z;Taux d'entrée;2007;33.58;;;
E2Z;Taux d'entrée;2007;9.25;;;
Ensemble;Taux d'entrée;2007;52.85;;;
F0Z;Taux d'entrée;2007;24.4;;;
F1Z;Taux d'entrée;2007;23.52;;;
F2Z;Taux d'entrée;2007;42.66;;;
F3Z;Taux d'entrée;2007;15.66;;;
F4Z;Taux d'entrée;2007;27.88;;;
F5Z;Taux d'entrée;2007;9.99;;;
G0A;Taux d'entrée;2007;34.63;;;
G0B;Taux d'entrée;2007;27.06;;;
G1Z;Taux d'entrée;2007;15.93;;;
H0Z;Taux d'entrée;2007;11.57;;;
J0Z;Taux d'entrée;2007;62.74;;;
J1Z;Taux d'entrée;2007;24.64;;;
J3Z;Taux d'entrée;2007;49.8;;;
J4Z;Taux d'entrée;2007;23.67;;;
J5Z;Taux d'entrée;2007;32.84;;;
J6Z;Taux d'entrée;2007;18.67;;;
