"Fap3","annee","Pourcentage","Horaire_atypique","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","2017-2019",31.09,"Travail le samedi","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","2017-2019",11.79,"Travail de nuit","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","2017-2019",18.23,"Travail le dimanche","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","2017-2019",29.87,"Travail le samedi","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","2017-2019",14.57,"Travail de nuit","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","2017-2019",16.53,"Travail le dimanche","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","2017-2019",18.42,"Travail le samedi","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","2017-2019",1.98,"Travail de nuit","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","2017-2019",6.7,"Travail le dimanche","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","2017-2019",46.98,"Travail le samedi","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","2017-2019",16.76,"Travail de nuit","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","2017-2019",31.33,"Travail le dimanche","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","2017-2019",51.34,"Travail le samedi","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","2017-2019",4.81,"Travail de nuit","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","2017-2019",26.24,"Travail le dimanche","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","2017-2019",32.22,"Travail le samedi","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","2017-2019",5.57,"Travail de nuit","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","2017-2019",19.08,"Travail le dimanche","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","2017-2019",22.41,"Travail le samedi","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","2017-2019",3,"Travail de nuit","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
