"Annee","Taux_inflation","base_1991"
2020,0.5,150.138010079738
2019,1.1,149.391054805709
2018,1.8,147.765632844421
2017,1,145.152880986661
2016,0.2,143.715723749169
2015,0,143.428866017135
2014,0.5,143.428866017135
2013,0.9,142.715289569288
2012,2,141.442308790177
2011,2.1,138.668930186448
2010,1.5,135.816777851565
2009,0.1,133.809633351295
2008,2.8,133.675957393902
2007,1.5,130.034978009632
2006,1.7,128.113278827224
2005,1.7,125.97175892549
2004,2.1,123.86603630825
2003,2.1,121.318350938541
2002,1.9,118.823066541176
2001,1.6,116.607523592911
2000,1.7,114.771184638692
1999,0.5,112.852688926934
1998,0.6,112.291232763118
1997,1.2,111.621503740674
1996,2,110.297928597504
1995,1.8,108.1352241152
1994,1.6,106.2232064
1993,2.1,104.5504
1992,2.4,102.4
1991,3.2,100
