"code_reg","FAP_3","emp_fap_reg","emp_reg","variable","nom_reg","GID","var_classe","REG","emp_fap_reg2","pourcentage"
101,"A0Z","2429.49","126983.02","1.9132","Guadeloupe","Dom____","1,5 - 2,0","1",2429.49,0.00522190669266561
102,"A0Z","2476.10","129619.25","1.9103","Martinique","Dom____","1,5 - 2,0","2",2476.1,0.00532208947627252
103,"A0Z","1069.68","68798.00","1.5548","Guyane","Dom____","1,5 - 2,0","3",1069.68,0.00229915297079245
104,"A0Z","5617.85","260932.19","2.1530","La Réunion","Dom____","2,0 - 2,5","4",5617.85,0.0120749163459786
11,"A0Z","9719.05","5730403.41","0.1696","Île-de-France","FRA.8_1","0,1 - 0,25","11",9719.05,0.0208899695991141
24,"A0Z","24966.69","975024.95","2.5606","Centre-Val de Loire","FRA.4_1","2,5 - 3,0","24",24966.69,0.0536630015372394
27,"A0Z","30398.78","1070586.35","2.8395","Bourgogne-Franche-Comté","FRA.2_1","2,5 - 3,0","27",30398.78,0.0653386483298427
28,"A0Z","35615.65","1269386.93","2.8057","Normandie","FRA.9_1","2,5 - 3,0","28",35615.65,0.0765517047193593
32,"A0Z","35047.20","2109995.91","1.6610","Hauts-de-France","FRA.7_1","1,5 - 2,0","32",35047.2,0.0753298874410639
44,"A0Z","37245.35","2060125.53","1.8079","Grand Est","FRA.6_1","1,5 - 2,0","44",37245.35,0.080054555662165
52,"A0Z","42923.81","1530280.18","2.8050","Pays de la Loire","FRA.12_1","2,5 - 3,0","52",42923.81,0.0922597461663589
53,"A0Z","42457.36","1308549.40","3.2446","Bretagne","FRA.3_1","3,0 - 3,5","53",42457.36,0.0912571660459246
75,"A0Z","68373.30","2326392.53","2.9390","Nouvelle-Aquitaine","FRA.10_1","2,5 - 3,0","75",68373.3,0.146960470250807
76,"A0Z","53798.70","2211951.10","2.4322","Occitanie","FRA.11_1","2,0 - 2,5","76",53798.7,0.115634059653141
84,"A0Z","55352.80","3200845.62","1.7293","Auvergne-Rhône-Alpes","FRA.1_1","1,5 - 2,0","84",55352.8,0.118974417173062
93,"A0Z","14994.33","1900656.30","0.7889","Provence-Alpes-Côte d'Azur","FRA.13_1","0,75 - 1,0","93",14994.33,0.0322285715022646
94,"A0Z","2763.46","131710.37","2.0981","Corse","FRA.5_1","2,0 - 2,5","94",2763.46,0.00593973643394857
101,"A1Z","2090.43","126983.02","1.6462","Guadeloupe","Dom____","1,5 - 2,0","1",2090.43,0.00733258006863286
102,"A1Z","3364.70","129619.25","2.5958","Martinique","Dom____","2,5 - 3,0","2",3364.7,0.0118023239988562
103,"A1Z","1066.49","68798.00","1.5502","Guyane","Dom____","1,5 - 2,0","3",1066.49,0.00374091613562581
104,"A1Z","4984.04","260932.19","1.9101","La Réunion","Dom____","1,5 - 2,0","4",4984.04,0.0174824664615744
11,"A1Z","17160.48","5730403.41","0.2995","Île-de-France","FRA.8_1","0,25 - 0,5","11",17160.48,0.0601936413159842
24,"A1Z","12370.13","975024.95","1.2687","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",12370.13,0.043390579299186
27,"A1Z","16288.06","1070586.35","1.5214","Bourgogne-Franche-Comté","FRA.2_1","1,5 - 2,0","27",16288.06,0.0571334625472731
28,"A1Z","10159.03","1269386.93","0.8003","Normandie","FRA.9_1","0,75 - 1,0","28",10159.03,0.0356347262977681
32,"A1Z","17713.54","2109995.91","0.8395","Hauts-de-France","FRA.7_1","0,75 - 1,0","32",17713.54,0.0621336042579426
44,"A1Z","29883.95","2060125.53","1.4506","Grand Est","FRA.6_1","1,0 - 1,5","44",29883.95,0.104823627742628
52,"A1Z","20193.12","1530280.18","1.3196","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",20193.12,0.0708312018271416
53,"A1Z","14948.28","1308549.40","1.1424","Bretagne","FRA.3_1","1,0 - 1,5","53",14948.28,0.0524339298557442
75,"A1Z","47517.12","2326392.53","2.0425","Nouvelle-Aquitaine","FRA.10_1","2,0 - 2,5","75",47517.12,0.166675318968268
76,"A1Z","34054.14","2211951.10","1.5396","Occitanie","FRA.11_1","1,5 - 2,0","76",34054.14,0.119451360829319
