code_reg;fap_3;emp_fap;emp_region;variable;var_classe
11;A0Z;4841;4169666;0.116100426;0,1 - 0,25
24;A0Z;8705;869129;1.001577441;1,0 - 1,5
27;A0Z;6974;879600;0.792860391;0,75 - 1,0
28;A0Z;8807;1137000;0.774582234;0,75 - 1,0
32;A0Z;13806;2320760;0.594891329;0,5 - 0,75
44;A0Z;10818;1852977;0.583817284;0,5 - 0,75
52;A0Z;10957;1312839;0.834603481;0,75 - 1,0
53;A0Z;10301;1082628;0.951481026;0,75 - 1,0
75;A0Z;26365;2059120;1.280401336;1,0 - 1,5
76;A0Z;32932;2377731;1.385017902;1,0 - 1,5
84;A0Z;19927;2669893;0.746359498;0,5 - 0,75
93;A0Z;17680;2013910;0.877894246;0,75 - 1,0
94;A0Z;1132;90704;1.248015523;1,0 - 1,5
11;A1Z;28270;4169666;0.677991954;0,5 - 0,75
24;A1Z;31469;869129;3.62075135;3,5 - 4,0
27;A1Z;26965;879600;3.065597999;3,0 - 3,5
28;A1Z;30896;1137000;2.717326297;2,5 - 3,0
32;A1Z;70721;2320760;3.047320705;3,0 - 3,5
44;A1Z;55158;1852977;2.976723402;2,5 - 3,0
52;A1Z;55003;1312839;4.189622642;4,0 - 4,5
53;A1Z;36802;1082628;3.399320912;3,0 - 3,5
75;A1Z;102244;2059120;4.965422122;4,5 - 5,0
76;A1Z;92961;2377731;3.909651681;3,5 - 4,0
84;A1Z;60760;2669893;2.275746631;2,0 - 2,5
93;A1Z;54089;2013910;2.685770466;2,5 - 3,0
94;A1Z;2052;90704;2.262303757;2,0 - 2,5
11;A2Z;3357;4169666;0.080510046;0,0 - 0,1
24;A2Z;1544;869129;0.177649118;0,1 - 0,25
27;A2Z;1703;879600;0.193610732;0,1 - 0,25
28;A2Z;1761;1137000;0.154881266;0,1 - 0,25
32;A2Z;2032;2320760;0.087557524;0,0 - 0,1
44;A2Z;2540;1852977;0.137076715;0,1 - 0,25
52;A2Z;2980;1312839;0.226988991;0,1 - 0,25
53;A2Z;3403;1082628;0.314327728;0,25 - 0,5
75;A2Z;4921;2059120;0.238985586;0,1 - 0,25
76;A2Z;6232;2377731;0.262098614;0,25 - 0,5
84;A2Z;5706;2669893;0.21371643;0,1 - 0,25
93;A2Z;2829;2013910;0.14047301;0,1 - 0,25
94;A2Z;298;90704;0.328541189;0,25 - 0,5
11;A3Z;805;4169666;0.0193061;0,0 - 0,1
24;A3Z;206;869129;0.0237019;0,0 - 0,1
27;A3Z;344;879600;0.0391087;0,0 - 0,1
28;A3Z;2377;1137000;0.209058927;0,1 - 0,25
32;A3Z;1310;2320760;0.056447;0,0 - 0,1
44;A3Z;348;1852977;0.0187806;0,0 - 0,1
52;A3Z;1777;1312839;0.135355516;0,1 - 0,25
53;A3Z;5669;1082628;0.523633233;0,5 - 0,75
75;A3Z;3682;2059120;0.178814251;0,1 - 0,25
76;A3Z;2603;2377731;0.109474116;0,1 - 0,25
84;A3Z;826;2669893;0.0309376;0,0 - 0,1
93;A3Z;5117;2013910;0.254082854;0,25 - 0,5
94;A3Z;857;90704;0.94483154;0,75 - 1,0
11;B0Z;46263;4169666;1.109513328;1,0 - 1,5
24;B0Z;12009;869129;1.381728144;1,0 - 1,5
27;B0Z;13551;879600;1.54058663;1,5 - 2,0
28;B0Z;18603;1137000;1.636147757;1,5 - 2,0
32;B0Z;43451;2320760;1.8722746;1,5 - 2,0
44;B0Z;33159;1852977;1.789498736;1,5 - 2,0
52;B0Z;14325;1312839;1.091146744;1,0 - 1,5
53;B0Z;10406;1082628;0.961179648;0,75 - 1,0
75;B0Z;26576;2059120;1.290648432;1,0 - 1,5
76;B0Z;38841;2377731;1.633532136;1,5 - 2,0
84;B0Z;36128;2669893;1.353162842;1,0 - 1,5
93;B0Z;38896;2013910;1.93136734;1,5 - 2,0
94;B0Z;1315;90704;1.449770683;1,0 - 1,5
11;B1Z;13512;4169666;0.324054732;0,25 - 0,5
24;B1Z;1812;869129;0.208484586;0,1 - 0,25
27;B1Z;1721;879600;0.195657117;0,1 - 0,25
28;B1Z;4051;1137000;0.356288478;0,25 - 0,5
32;B1Z;6964;2320760;0.300074114;0,25 - 0,5
44;B1Z;4355;1852977;0.235027202;0,1 - 0,25
52;B1Z;3094;1312839;0.235672463;0,1 - 0,25
53;B1Z;3024;1082628;0.279320321;0,25 - 0,5
75;B1Z;5319;2059120;0.258314231;0,25 - 0,5
76;B1Z;8222;2377731;0.345791849;0,25 - 0,5
84;B1Z;5568;2669893;0.208547683;0,1 - 0,25
93;B1Z;9896;2013910;0.491382435;0,25 - 0,5
94;B1Z;136;90704;0.149938261;0,1 - 0,25
11;B2Z;33079;4169666;0.793324933;0,75 - 1,0
24;B2Z;9680;869129;1.113758717;1,0 - 1,5
27;B2Z;10488;879600;1.192360164;1,0 - 1,5
28;B2Z;14539;1137000;1.278715919;1,0 - 1,5
32;B2Z;24732;2320760;1.065685379;1,0 - 1,5
44;B2Z;22794;1852977;1.230128598;1,0 - 1,5
52;B2Z;13951;1312839;1.062658864;1,0 - 1,5
53;B2Z;13529;1082628;1.249644384;1,0 - 1,5
75;B2Z;24064;2059120;1.168654571;1,0 - 1,5
76;B2Z;33512;2377731;1.409410905;1,0 - 1,5
84;B2Z;34949;2669893;1.309003769;1,0 - 1,5
93;B2Z;30586;2013910;1.518737183;1,5 - 2,0
94;B2Z;874;90704;0.963573823;0,75 - 1,0
11;B3Z;25708;4169666;0.616548184;0,5 - 0,75
24;B3Z;7357;869129;0.846479637;0,75 - 1,0
27;B3Z;8070;879600;0.917462483;0,75 - 1,0
28;B3Z;11106;1137000;0.976781003;0,75 - 1,0
32;B3Z;27652;2320760;1.191506231;1,0 - 1,5
44;B3Z;18617;1852977;1.00470756;1,0 - 1,5
52;B3Z;10808;1312839;0.823254032;0,75 - 1,0
53;B3Z;7251;1082628;0.669759142;0,5 - 0,75
75;B3Z;15281;2059120;0.742113136;0,5 - 0,75
76;B3Z;18193;2377731;0.765141221;0,75 - 1,0
84;B3Z;21416;2669893;0.802129524;0,75 - 1,0
93;B3Z;14931;2013910;0.741393607;0,5 - 0,75
94;B3Z;560;90704;0.617392838;0,5 - 0,75
11;B4Z;90679;4169666;2.174730542;2,0 - 2,5
24;B4Z;19833;869129;2.281939735;2,0 - 2,5
27;B4Z;20643;879600;2.34686221;2,0 - 2,5
