Fap3;Annee;Part
A0Z;2007;90.54
A1Z;2007;94.23
A2Z;2007;66.72
A3Z;2007;84.17
B0Z;2007;70.87
B1Z;2007;27.47
B2Z;2007;38.56
B3Z;2007;69.98
B4Z;2007;43.72
B5Z;2007;30.96
B6Z;2007;27.95
B7Z;2007;15.41
C0Z;2007;81.95
C1Z;2007;57.19
C2Z;2007;41.31
D0Z;2007;70.96
D1Z;2007;46.91
D2Z;2007;58.35
D3Z;2007;83.52
D4Z;2007;48.53
D6Z;2007;38.24
E0Z;2007;87.05
E1Z;2007;66.57
E2Z;2007;47.08
Ensemble;2007;71.32
F0Z;2007;83.54
F1Z;2007;69.58
F2Z;2007;75.58
F3Z;2007;47.16
F4Z;2007;74.92
F5Z;2007;43.17
G0A;2007;55.26
G0B;2007;34.43
G1Z;2007;49.45
H0Z;2007;19.77
J0Z;2007;86.57
J1Z;2007;63.78
J3Z;2007;49.82
J4Z;2007;66.05
J5Z;2007;76.4
J6Z;2007;51.53
K0Z;2007;75.25
L0Z;2007;59.55
L1Z;2007;51.91
L2Z;2007;77.54
L3Z;2007;44.29
L4Z;2007;45.55
L5Z;2007;25.4
L6Z;2007;10.96
M0Z;2007;71.2
M1Z;2007;49.13
M2Z;2007;11.03
N0Z;2007;35.79
P0Z;2007;71.53
P1Z;2007;75.47
P2Z;2007;38.18
P3Z;2007;8.2
P4Z;2007;92.15
Q0Z;2007;72.51
Q1Z;2007;31.16
Q2Z;2007;9.59
R0Z;2007;83.55
R1Z;2007;75.52
R2Z;2007;23.13
R3Z;2007;44.6
R4Z;2007;14.58
S0Z;2007;66.52
S1Z;2007;59.99
S2Z;2007;69.02
S3Z;2007;23.09
T0Z;2007;65.92
T1Z;2007;82.78
T2A;2007;77.78
T2B;2007;76.84
T3Z;2007;61.53
T4Z;2007;86.5
T6Z;2007;81.76
U0Z;2007;71.74
U1Z;2007;96.74
V0Z;2007;91.34
V1Z;2007;85
V2Z;2007;72.44
V3Z;2007;66.86
V4Z;2007;83.41
V5Z;2007;90.64
W0Z;2007;83.81
W1Z;2007;86.78
X0Z;2007;68.01
ZZZ;2007;71.04
A0Z;2008;91.01
A1Z;2008;93.45
A2Z;2008;49.72
A3Z;2008;87.23
B0Z;2008;72.59
B1Z;2008;35.94
B2Z;2008;54.92
B3Z;2008;85.51
B4Z;2008;50.63
B5Z;2008;41.62
B6Z;2008;31.53
B7Z;2008;22.58
C0Z;2008;73.17
C1Z;2008;53.09
C2Z;2008;32.71
D0Z;2008;72.11
D1Z;2008;50.56
D2Z;2008;53.59
D3Z;2008;84.45
D4Z;2008;47.72
D6Z;2008;35.9
E0Z;2008;89.57
E1Z;2008;68.04
E2Z;2008;40.63
Ensemble;2008;71.77
F0Z;2008;87.91
F1Z;2008;78.2
F2Z;2008;79.73
F3Z;2008;41.15
F4Z;2008;73.75
F5Z;2008;46.18
G0A;2008;59.61
G0B;2008;42.47
