"Fap","stat_sl","annee","effectif","pourcentage","part"
"A0Z","cdd","1982-1984",19.64448,0.0121992649445572,1.21992649445572
"A1Z","cdd","1982-1984",16.43756,0.0494085677014238,4.94085677014238
"A2Z","cdd","1982-1984",1.83409,0.0683235112240261,6.83235112240261
"A3Z","cdd","1982-1984",1.67572,0.0289320544241412,2.89320544241412
"B0Z","cdd","1982-1984",24.21789,0.0675825919646339,6.75825919646339
"B1Z","cdd","1982-1984",2.79222,0.0281462412658521,2.81462412658521
"B2Z","cdd","1982-1984",12.11739,0.0331658062866134,3.31658062866134
"B3Z","cdd","1982-1984",12.18171,0.0847089713052828,8.47089713052828
"B4Z","cdd","1982-1984",16.17105,0.0329515769810625,3.29515769810625
"B5Z","cdd","1982-1984",1.94088,0.0264523850118961,2.64523850118961
"B6Z","cdd","1982-1984",12.86482,0.0558734331984129,5.58734331984129
"B7Z","cdd","1982-1984",1.32598,0.0175766963955034,1.75766963955034
"C0Z","cdd","1982-1984",5.2201,0.0628955142380909,6.28955142380909
"C1Z","cdd","1982-1984",2.5186,0.0301858516494711,3.01858516494711
"C2Z","cdd","1982-1984",3.87073,0.0244126521734578,2.44126521734578
"D0Z","cdd","1982-1984",4.79151,0.0420732539350681,4.20732539350681
"D1Z","cdd","1982-1984",2.39611,0.0149609360170872,1.49609360170872
"D2Z","cdd","1982-1984",3.29257,0.0184571154885793,1.84571154885793
"D3Z","cdd","1982-1984",20.30519,0.0570597237879973,5.70597237879973
"D4Z","cdd","1982-1984",2.74082,0.0164530303567841,1.64530303567841
"D6Z","cdd","1982-1984",6.81119,0.022260034792794,2.2260034792794
"E0Z","cdd","1982-1984",21.79392,0.0549652166050847,5.49652166050847
"E1Z","cdd","1982-1984",5.37616,0.020353311770671,2.0353311770671
"E2Z","cdd","1982-1984",3.8137,0.0188595270109551,1.88595270109551
"ENS","cdd","1982-1984",1649.1931,0.0736093566378377,7.36093566378377
"F0Z","cdd","1982-1984",22.20454,0.0802327053203967,8.02327053203967
"F1Z","cdd","1982-1984",12.04113,0.0797564318784361,7.97564318784361
"F2Z","cdd","1982-1984",4.11047,0.0477320852413824,4.77320852413824
"F3Z","cdd","1982-1984",2.6801,0.0290034400259376,2.90034400259376
"F4Z","cdd","1982-1984",3.81951,0.0315546091997286,3.15546091997286
"F5Z","cdd","1982-1984",1.05277,0.0265375545581843,2.65375545581843
"G0A","cdd","1982-1984",4.51527,0.0216344229227417,2.16344229227417
"G0B","cdd","1982-1984",4.49122,0.0205809312234185,2.05809312234185
"G1Z","cdd","1982-1984",6.49474,0.0266328693848016,2.66328693848016
"H0Z","cdd","1982-1984",2.03824,0.0197220314435504,1.97220314435504
"J0Z","cdd","1982-1984",32.25458,0.0733811026150767,7.33811026150767
"J1Z","cdd","1982-1984",8.06399,0.0217331965448271,2.17331965448271
"J3Z","cdd","1982-1984",20.57453,0.0314160810124946,3.14160810124946
"J4Z","cdd","1982-1984",1.58863,0.0294492268101914,2.94492268101914
"J5Z","cdd","1982-1984",4.39101,0.032115292980985,3.2115292980985
"J6Z","cdd","1982-1984",0.84692,0.0227919338535516,2.27919338535516
"K0Z","cdd","1982-1984",10.12557,0.0645116589419499,6.45116589419499
"L0Z","cdd","1982-1984",34.48211,0.0585038657100829,5.85038657100829
"L1Z","cdd","1982-1984",20.07945,0.0609246688313722,6.09246688313722
"L2Z","cdd","1982-1984",12.99471,0.0589878574451146,5.89878574451146
"L3Z","cdd","1982-1984",4.84783,0.0282203072721765,2.82203072721765
"L4Z","cdd","1982-1984",5.06614,0.0368125165491886,3.68125165491886
"L5Z","cdd","1982-1984",5.55295,0.0248135315353423,2.48135315353423
"L6Z","cdd","1982-1984",0,0,0
"M0Z","cdd","1982-1984",2.1785,0.0476874383385114,4.76874383385114
"M1Z","cdd","1982-1984",6.52545,0.0492197677394478,4.92197677394478
"M2Z","cdd","1982-1984",0.59541,0.0138691961568483,1.38691961568483
"N0Z","cdd","1982-1984",6.25072,0.0479649658202657,4.79649658202657
"P0Z","cdd","1982-1984",109.64584,0.135954103823378,13.5954103823378
"P1Z","cdd","1982-1984",11.70794,0.0317259698934503,3.17259698934503
"P2Z","cdd","1982-1984",8.05137,0.032170635341449,3.2170635341449
"P3Z","cdd","1982-1984",0.12252,0.00345493080550759,0.345493080550759
"P4Z","cdd","1982-1984",350.3184,0.52091602174415,52.091602174415
"Q0Z","cdd","1982-1984",11.58029,0.0332901482573259,3.32901482573259
"Q1Z","cdd","1982-1984",2.71282,0.0259323751961069,2.59323751961069
"Q2Z","cdd","1982-1984",0.96479,0.00648479086366305,0.648479086366305
"R0Z","cdd","1982-1984",16.70442,0.0652249569931801,6.52249569931801
"R1Z","cdd","1982-1984",43.4405,0.0638535925706436,6.38535925706436
"R2Z","cdd","1982-1984",18.25648,0.0508556511327202,5.08556511327202
"R3Z","cdd","1982-1984",6.54138,0.0111740728193597,1.11740728193597
"R4Z","cdd","1982-1984",4.97494,0.0190155207890309,1.90155207890309
"S0Z","cdd","1982-1984",10.03085,0.032613487105954,3.2613487105954
"S1Z","cdd","1982-1984",17.76797,0.065774075516007,6.5774075516007
"S2Z","cdd","1982-1984",19.29524,0.101083976610417,10.1083976610417
"S3Z","cdd","1982-1984",0.60424,0.00241124419386333,0.241124419386333
"T0Z","cdd","1982-1984",7.57472,0.0498617183055684,4.98617183055684
"T1Z","cdd","1982-1984",4.4914,0.0182953405823844,1.82953405823844
"T2A","cdd","1982-1984",0,NA,NA
"T2B","cdd","1982-1984",0,NA,NA
"T2Z","cdd","1982-1984",87.06846,0.261464389238624,26.1464389238624
"T3Z","cdd","1982-1984",9.96627,0.0683166830496136,6.83166830496136
"T4Z","cdd","1982-1984",182.68837,0.164313695262607,16.4313695262607
"T6Z","cdd","1982-1984",3.36306,0.0508718474349807,5.08718474349807
"U0Z","cdd","1982-1984",3.75504,0.0590494198279392,5.90494198279392
"U1Z","cdd","1982-1984",21.84691,0.132135038731324,13.2135038731324
"V0Z","cdd","1982-1984",22.03994,0.0859738306493484,8.59738306493484
"V1Z","cdd","1982-1984",15.66036,0.0443931984720133,4.43931984720133
"V2Z","cdd","1982-1984",25.52295,0.127203773687781,12.7203773687781
"V3Z","cdd","1982-1984",9.05704,0.0443729259227233,4.43729259227233
"V4Z","cdd","1982-1984",11.93579,0.114455639077124,11.4455639077124
"V5Z","cdd","1982-1984",73.91341,0.366313562829021,36.6313562829021
"W0Z","cdd","1982-1984",83.25978,0.0908029380619156,9.08029380619156
"W1Z","cdd","1982-1984",5.72051,0.131785361978889,13.1785361978889
"X0Z","cdd","1982-1984",1.31061,0.0491426535930557,4.91426535930557
"ZZZ","cdd","1982-1984",1.29762,0.0363813761402299,3.63813761402299
"SAL","cdd","1982-1984",3298.38619,0.0884868585670886,8.84868585670886
"A0Z","cdd","1983-1985",19.27627,0.0122231993162257,1.22231993162257
"A1Z","cdd","1983-1985",17.98465,0.0527241363216769,5.27241363216769
"A2Z","cdd","1983-1985",1.8558,0.0624106281687905,6.24106281687905
"A3Z","cdd","1983-1985",1.77175,0.0323909976884336,3.23909976884336
"B0Z","cdd","1983-1985",26.2521,0.0780615173677442,7.80615173677442
"B1Z","cdd","1983-1985",2.82658,0.0276220839077795,2.76220839077795
"B2Z","cdd","1983-1985",12.5898,0.0350587340588481,3.50587340588481
"B3Z","cdd","1983-1985",12.70962,0.0935525359567888,9.35525359567888
"B4Z","cdd","1983-1985",14.0248,0.0288681375650489,2.88681375650489
"B5Z","cdd","1983-1985",1.28734,0.0189607565921305,1.89607565921305
