"Fap3","Annee","Part"
"A0Z","1982-1984",37.3054003486517
"A1Z","1982-1984",26.2391976733166
"A2Z","1982-1984",5.70700773612465
"A3Z","1982-1984",14.9492672200357
"B0Z","1982-1984",0.3389693532279
"B1Z","1982-1984",0.374027219262608
"B2Z","1982-1984",0.395661328485776
"B3Z","1982-1984",2.1068782656707
"B4Z","1982-1984",0.68837428083827
"B5Z","1982-1984",1.67634830341253
"B6Z","1982-1984",5.15101652204734
"B7Z","1982-1984",2.59493515677764
"C0Z","1982-1984",51.1395918713563
"C1Z","1982-1984",24.2699084153269
"C2Z","1982-1984",5.48870147039884
"D0Z","1982-1984",23.4395744618078
"D1Z","1982-1984",1.43486647165894
"D2Z","1982-1984",1.40720671552284
"D3Z","1982-1984",17.3960365654295
"D4Z","1982-1984",6.46486840433913
"D6Z","1982-1984",3.67925777292595
"E0Z","1982-1984",34.6176058567905
"E1Z","1982-1984",19.0359177194883
"E2Z","1982-1984",11.7463786638958
"F0Z","1982-1984",81.3306243830888
"F1Z","1982-1984",66.6119728464126
"F2Z","1982-1984",22.5635121223892
"F3Z","1982-1984",5.02569793153646
"F4Z","1982-1984",26.3640383948274
"F5Z","1982-1984",18.0188732513657
"G0A","1982-1984",2.03340404468145
"G0B","1982-1984",1.19625208044637
"G1Z","1982-1984",2.88589239242566
"H0Z","1982-1984",3.05228780557567
"J0Z","1982-1984",33.8052414424472
"J1Z","1982-1984",8.05717195951767
"J3Z","1982-1984",3.9467194914751
"J4Z","1982-1984",8.1952243324693
"J5Z","1982-1984",43.2052174250118
"J6Z","1982-1984",5.91806774985703
"K0Z","1982-1984",43.7560056173268
"L0Z","1982-1984",96.6473670019439
"L1Z","1982-1984",82.7115291658605
"L2Z","1982-1984",77.9288295049912
"L3Z","1982-1984",97.3039987854597
"L4Z","1982-1984",45.6535445738401
"L5Z","1982-1984",21.5954640475831
"L6Z","1982-1984",20.0972394317903
"M0Z","1982-1984",84.5891132130403
"M1Z","1982-1984",18.9827288619824
"M2Z","1982-1984",11.659217789907
"N0Z","1982-1984",8.36913857848042
"P0Z","1982-1984",75.0487922018975
"P1Z","1982-1984",61.3640215838511
"P2Z","1982-1984",23.4471989320048
"P3Z","1982-1984",24.0332216938687
"P4Z","1982-1984",2.83114362823057
"Q0Z","1982-1984",67.3060333149016
"Q1Z","1982-1984",39.7834421536256
"Q2Z","1982-1984",16.9850451026315
"R0Z","1982-1984",79.9557977707011
"R1Z","1982-1984",81.7943111601787
"R2Z","1982-1984",22.490421290509
"R3Z","1982-1984",48.3281194389646
"R4Z","1982-1984",9.16230441536545
"S0Z","1982-1984",10.0052196662093
"S1Z","1982-1984",29.6898784861883
"S2Z","1982-1984",45.5666015745227
"S3Z","1982-1984",58.8060015494471
"T0Z","1982-1984",77.5738583021744
"T1Z","1982-1984",97.4538134690683
"T2A","1982-1984",NA
"T2B","1982-1984",NA
"T3Z","1982-1984",33.4690444560519
"T4Z","1982-1984",74.4441611869014
"T6Z","1982-1984",40.2119062486386
"U0Z","1982-1984",42.2181084635866
"U1Z","1982-1984",33.599229456068
"V0Z","1982-1984",92.411875702562
"V1Z","1982-1984",87.7464974188897
"V2Z","1982-1984",31.339217688531
"V3Z","1982-1984",61.3050932613663
"V4Z","1982-1984",70.7645973768334
"V5Z","1982-1984",50.2820078053754
"W0Z","1982-1984",61.3942676387791
"W1Z","1982-1984",33.0440073185037
"X0Z","1982-1984",5.9835392489548
"ZZZ","1982-1984",50.9131231399201
"A0Z","1983-1985",37.3526020490959
"A1Z","1983-1985",26.602032878221
"A2Z","1983-1985",6.23853846585863
"A3Z","1983-1985",14.2046522375977
"B0Z","1983-1985",0.275277894604629
"B1Z","1983-1985",0.17567597676703
"B2Z","1983-1985",0.508490585898379
"B3Z","1983-1985",1.91069285931376
"B4Z","1983-1985",0.865720963869091
"B5Z","1983-1985",1.02182842437789
"B6Z","1983-1985",4.7409742196673
"B7Z","1983-1985",3.04199667929525
"C0Z","1983-1985",55.3158852192634
"C1Z","1983-1985",29.5140404136854
"C2Z","1983-1985",6.35623026628401
"D0Z","1983-1985",22.3666487061888
"D1Z","1983-1985",1.26202505828734
"D2Z","1983-1985",1.65906203211874
"D3Z","1983-1985",18.3763273072055
"D4Z","1983-1985",7.18459176938135
"D6Z","1983-1985",3.21572435345375
"E0Z","1983-1985",35.1635974050319
"E1Z","1983-1985",18.0325280614478
"E2Z","1983-1985",12.4594410005536
"F0Z","1983-1985",79.691387003364
"F1Z","1983-1985",66.5902421732808
"F2Z","1983-1985",21.9468917756564
"F3Z","1983-1985",4.59554138523902
