"Fap","stat_sl","annee","effectif","pourcentage","part"
"A0Z","int","1982-1984",0.119,7.38992596598287e-05,0.00738992596598287
"A1Z","int","1982-1984",0.34776,0.00104530864093254,0.104530864093254
"A2Z","int","1982-1984",0,0,0
"A3Z","int","1982-1984",0.11991,0.00207029971952282,0.207029971952282
"B0Z","int","1982-1984",2.90372,0.00810313879283235,0.810313879283235
"B1Z","int","1982-1984",0.66456,0.00669892275523943,0.669892275523943
"B2Z","int","1982-1984",1.82444,0.0049935690459372,0.49935690459372
"B3Z","int","1982-1984",1.81753,0.0126387097227311,1.26387097227311
"B4Z","int","1982-1984",3.62424,0.00738507538829241,0.738507538829241
"B5Z","int","1982-1984",0.74836,0.0101994491403397,1.01994491403397
"B6Z","int","1982-1984",1.74307,0.00757035894829136,0.757035894829136
"B7Z","int","1982-1984",0.09273,0.00122919429912595,0.122919429912595
"C0Z","int","1982-1984",1.76184,0.0212279137957583,2.12279137957583
"C1Z","int","1982-1984",0.84632,0.0101432899102598,1.01432899102598
"C2Z","int","1982-1984",2.02242,0.0127553810285514,1.27553810285514
"D0Z","int","1982-1984",1.91363,0.0168031874978377,1.68031874978377
"D1Z","int","1982-1984",0.78236,0.00488493345561277,0.488493345561277
"D2Z","int","1982-1984",4.00776,0.0224662464793485,2.24662464793485
"D3Z","int","1982-1984",5.74523,0.0161447017682925,1.61447017682925
"D4Z","int","1982-1984",1.32258,0.00793939364470322,0.793939364470322
"D6Z","int","1982-1984",2.00674,0.00655834035169939,0.655834035169939
"E0Z","int","1982-1984",6.96381,0.0175630324901007,1.75630324901007
"E1Z","int","1982-1984",1.4459,0.00547395417718469,0.547395417718469
"E2Z","int","1982-1984",0.79976,0.00395497687869561,0.395497687869561
"ENS","int","1982-1984",115.89176,0.00517266164479266,0.517266164479266
"F0Z","int","1982-1984",2.43856,0.00881136316654642,0.881136316654642
"F1Z","int","1982-1984",0.30646,0.00202988889858888,0.202988889858888
"F2Z","int","1982-1984",0.11162,0.00129616694797507,0.129616694797507
"F3Z","int","1982-1984",0.47498,0.00514012683986413,0.514012683986413
"F4Z","int","1982-1984",0.68662,0.00567246211391453,0.567246211391453
"F5Z","int","1982-1984",0,0,0
"G0A","int","1982-1984",1.93608,0.00927651580797198,0.927651580797198
"G0B","int","1982-1984",0.84841,0.00388782287647019,0.388782287647019
"G1Z","int","1982-1984",1.1036,0.00452551366999557,0.452551366999557
"H0Z","int","1982-1984",0,0,0
"J0Z","int","1982-1984",14.02462,0.0319068510381303,3.19068510381303
"J1Z","int","1982-1984",2.72026,0.00733135150626817,0.733135150626817
"J3Z","int","1982-1984",3.15389,0.00481580204964569,0.481580204964569
"J4Z","int","1982-1984",0,0,0
"J5Z","int","1982-1984",0,0,0
"J6Z","int","1982-1984",0.15119,0.00406875794563651,0.406875794563651
"K0Z","int","1982-1984",0.65041,0.00414386825555831,0.414386825555831
"L0Z","int","1982-1984",12.34081,0.0209379614818713,2.09379614818713
"L1Z","int","1982-1984",4.24948,0.0128936879100543,1.28936879100543
"L2Z","int","1982-1984",3.12688,0.0141940798746552,1.41940798746552
"L3Z","int","1982-1984",1.41527,0.00823860454535188,0.823860454535188
"L4Z","int","1982-1984",0.6404,0.00465339204958813,0.465339204958813
"L5Z","int","1982-1984",0.73244,0.00327293115150435,0.327293115150435
"L6Z","int","1982-1984",NA,NA,NA
"M0Z","int","1982-1984",1.68975,0.0369886843848977,3.69886843848977
"M1Z","int","1982-1984",0.34863,0.00262962517941348,0.262962517941348
"M2Z","int","1982-1984",0.16456,0.00383318204190551,0.383318204190551
"N0Z","int","1982-1984",0.31535,0.0024198415496808,0.24198415496808
"P0Z","int","1982-1984",0,0,0
"P1Z","int","1982-1984",0,0,0
"P2Z","int","1982-1984",0,0,0
"P3Z","int","1982-1984",0,0,0
"P4Z","int","1982-1984",0,0,0
"Q0Z","int","1982-1984",0.80733,0.0023208516706047,0.23208516706047
"Q1Z","int","1982-1984",0.13559,0.0012961312408638,0.12961312408638
"Q2Z","int","1982-1984",0,0,0
"R0Z","int","1982-1984",1.26888,0.00495453559174795,0.495453559174795
"R1Z","int","1982-1984",1.46445,0.00215260859428595,0.215260859428595
"R2Z","int","1982-1984",1.35607,0.00377749833656586,0.377749833656586
"R3Z","int","1982-1984",0.6297,0.00107566196343139,0.107566196343139
"R4Z","int","1982-1984",0.44252,0.00169142708445971,0.169142708445971
"S0Z","int","1982-1984",0.32269,0.00104916793235073,0.104916793235073
"S1Z","int","1982-1984",1.6055,0.00594329449233363,0.594329449233363
"S2Z","int","1982-1984",1.08811,0.00570039480149308,0.570039480149308
"S3Z","int","1982-1984",0,0,0
"T0Z","int","1982-1984",0.36171,0.00238100974403108,0.238100974403108
"T1Z","int","1982-1984",0.382,0.00155604490859662,0.155604490859662
"T2A","int","1982-1984",0,NA,NA
"T2B","int","1982-1984",0,NA,NA
"T2Z","int","1982-1984",0.43895,0.00131815577829554,0.131815577829554
"T3Z","int","1982-1984",0.78666,0.0053923887159197,0.53923887159197
"T4Z","int","1982-1984",3.64838,0.00328142836636066,0.328142836636066
"T6Z","int","1982-1984",0,0,0
"U0Z","int","1982-1984",0.08567,0.0013471930516478,0.13471930516478
"U1Z","int","1982-1984",0.6887,0.00416541291991696,0.416541291991696
"V0Z","int","1982-1984",0.56659,0.00221016539553258,0.221016539553258
"V1Z","int","1982-1984",1.05994,0.00300466443864801,0.300466443864801
"V2Z","int","1982-1984",0.18268,0.000910458445331899,0.09104584453319
"V3Z","int","1982-1984",0.66926,0.00327888851137256,0.327888851137256
"V4Z","int","1982-1984",0.30563,0.00293077181913735,0.293077181913735
"V5Z","int","1982-1984",0.24084,0.00119359881341886,0.119359881341886
"W0Z","int","1982-1984",0.1,0.000109059786203994,0.0109059786203994
"W1Z","int","1982-1984",0,0,0
"X0Z","int","1982-1984",0,0,0
"ZZZ","int","1982-1984",0,0,0
"SAL","int","1982-1984",231.78353,0.00621813070266661,0.621813070266661
"A0Z","int","1983-1985",0.119,7.54586192572971e-05,0.00754586192572971
"A1Z","int","1983-1985",0.44609,0.00130776578758757,0.130776578758757
"A2Z","int","1983-1985",0,0,0
"A3Z","int","1983-1985",0,0,0
"B0Z","int","1983-1985",3.74709,0.0111421002934432,1.11421002934432
"B1Z","int","1983-1985",0.393,0.00384049946428453,0.384049946428453
"B2Z","int","1983-1985",1.58236,0.00440638758561366,0.440638758561366
"B3Z","int","1983-1985",1.60241,0.0117949646915107,1.17949646915107
"B4Z","int","1983-1985",4.01095,0.00825599340928448,0.825599340928448
"B5Z","int","1983-1985",0.31569,0.00464968170690701,0.464968170690701
"B6Z","int","1983-1985",1.31677,0.00594529955975878,0.594529955975878
"B7Z","int","1983-1985",0.20404,0.00266733633314984,0.266733633314984
"C0Z","int","1983-1985",1.08046,0.0138068003788609,1.38068003788609
"C1Z","int","1983-1985",1.09332,0.0143796119167226,1.43796119167226
"C2Z","int","1983-1985",1.23418,0.00759742102096786,0.759742102096785
"D0Z","int","1983-1985",1.60236,0.016839762673646,1.6839762673646
"D1Z","int","1983-1985",0.92662,0.00610422894172109,0.610422894172109
"D2Z","int","1983-1985",4.13206,0.0234349899169187,2.34349899169187
"D3Z","int","1983-1985",5.18045,0.0149546365392134,1.49546365392134
"D4Z","int","1983-1985",1.44887,0.00911065203725604,0.911065203725604
"D6Z","int","1983-1985",1.70467,0.00575021505919685,0.575021505919685
"E0Z","int","1983-1985",6.77093,0.0176576465871688,1.76576465871688
"E1Z","int","1983-1985",0.86641,0.00329775762301714,0.329775762301714
"E2Z","int","1983-1985",0.48573,0.00229612153858721,0.229612153858721
"ENS","int","1983-1985",112.51858,0.00503769423708887,0.503769423708887
"F0Z","int","1983-1985",2.47388,0.00887019118376399,0.887019118376399
"F1Z","int","1983-1985",0.21479,0.00147098554798988,0.147098554798988
"F2Z","int","1983-1985",0.1073,0.00144005834316523,0.144005834316523
"F3Z","int","1983-1985",0.59367,0.00711690060998409,0.711690060998409
"F4Z","int","1983-1985",0.50789,0.00457696939723397,0.457696939723397
"F5Z","int","1983-1985",0.06892,0.00176424676620889,0.176424676620889
"G0A","int","1983-1985",1.90163,0.00856881313942058,0.856881313942058
"G0B","int","1983-1985",0.84822,0.00387291494997131,0.387291494997131
"G1Z","int","1983-1985",0.21768,0.000876420448940819,0.0876420448940819
"H0Z","int","1983-1985",0,0,0
"J0Z","int","1983-1985",17.26151,0.0379009247587541,3.79009247587541
"J1Z","int","1983-1985",3.30367,0.00945490004351005,0.945490004351005
"J3Z","int","1983-1985",3.27439,0.00508916265378138,0.508916265378138
"J4Z","int","1983-1985",0.05966,0.00132298275620816,0.132298275620816
"J5Z","int","1983-1985",0.24537,0.00176605287506311,0.176605287506311
"J6Z","int","1983-1985",0,0,0
"K0Z","int","1983-1985",0.77403,0.00513437546059997,0.513437546059997
"L0Z","int","1983-1985",9.92377,0.0172688665086029,1.72688665086029
"L1Z","int","1983-1985",4.22625,0.0129308378476147,1.29308378476147
"L2Z","int","1983-1985",2.66834,0.0121697433692585,1.21697433692585
"L3Z","int","1983-1985",1.65489,0.00933909675732908,0.933909675732908
"L4Z","int","1983-1985",0.55784,0.00395153966178011,0.395153966178011
"L5Z","int","1983-1985",0.22418,0.000983452268413069,0.0983452268413069
"L6Z","int","1983-1985",NA,NA,NA
"M0Z","int","1983-1985",1.66629,0.0390733031572347,3.90733031572347
"M1Z","int","1983-1985",1.22481,0.0087624994983138,0.87624994983138
"M2Z","int","1983-1985",0.09505,0.00195429961335503,0.195429961335503
"N0Z","int","1983-1985",0.20841,0.00147075563219804,0.147075563219804
"P0Z","int","1983-1985",0,0,0
"P1Z","int","1983-1985",0,0,0
"P2Z","int","1983-1985",0,0,0
"P3Z","int","1983-1985",0,0,0
"P4Z","int","1983-1985",0,0,0
"Q0Z","int","1983-1985",1.28194,0.00358609753175985,0.358609753175985
"Q1Z","int","1983-1985",0,0,0
"Q2Z","int","1983-1985",0,0,0
"R0Z","int","1983-1985",1.14025,0.00440046131422377,0.440046131422377
"R1Z","int","1983-1985",1.29526,0.0018982869296322,0.18982869296322
"R2Z","int","1983-1985",1.32835,0.00363376426957221,0.363376426957221
"R3Z","int","1983-1985",0.458,0.000791313656691507,0.0791313656691507
"R4Z","int","1983-1985",0.10787,0.000415773186649591,0.0415773186649591
"S0Z","int","1983-1985",0.24051,0.000781060654453551,0.0781060654453551
"S1Z","int","1983-1985",1.10265,0.00403787624225163,0.403787624225163
"S2Z","int","1983-1985",1.24085,0.00626989644274519,0.626989644274519
"S3Z","int","1983-1985",0,0,0
"T0Z","int","1983-1985",0.27127,0.00176628829103941,0.176628829103941
"T1Z","int","1983-1985",0.71934,0.00314919498391299,0.314919498391299
"T2A","int","1983-1985",0,NA,NA
"T2B","int","1983-1985",0,NA,NA
"T2Z","int","1983-1985",0.43895,0.00130499574490224,0.130499574490224
"T3Z","int","1983-1985",0.61333,0.00406415955694412,0.406415955694412
"T4Z","int","1983-1985",3.12151,0.00277470083616317,0.277470083616317
"T6Z","int","1983-1985",0,0,0
"U0Z","int","1983-1985",0.08567,0.00131887329702622,0.131887329702622
"U1Z","int","1983-1985",1.16823,0.00658192677042353,0.658192677042354
"V0Z","int","1983-1985",0.4034,0.00155000699501174,0.155000699501174
"V1Z","int","1983-1985",1.12661,0.00310412411713305,0.310412411713305
"V2Z","int","1983-1985",0.18268,0.000876240481293359,0.0876240481293359
"V3Z","int","1983-1985",0.66926,0.00309224644362319,0.309224644362319
"V4Z","int","1983-1985",0.39248,0.00349243016118498,0.349243016118498
"V5Z","int","1983-1985",0.24084,0.00110885182730346,0.110885182730346
"W0Z","int","1983-1985",0.1,0.000108512266443623,0.0108512266443623
"W1Z","int","1983-1985",0,0,0
"X0Z","int","1983-1985",0.07579,0.00288506413072359,0.288506413072359
"ZZZ","int","1983-1985",0.14759,0.00971452116540027,0.971452116540027
"SAL","int","1983-1985",225.03716,0.00605300929917581,0.605300929917581
"A0Z","int","1984-1986",0,0,0
"A1Z","int","1984-1986",0.2386,0.000676471400427918,0.0676471400427918
"A2Z","int","1984-1986",0,0,0
"A3Z","int","1984-1986",0,0,0
"B0Z","int","1984-1986",5.31876,0.0173891317632234,1.73891317632234
"B1Z","int","1984-1986",0.704,0.00671247613805313,0.671247613805313
"B2Z","int","1984-1986",2.47946,0.00708083332143418,0.708083332143418
"B3Z","int","1984-1986",2.15649,0.0156466750353004,1.56466750353004
"B4Z","int","1984-1986",3.89016,0.00789575899692344,0.789575899692344
"B5Z","int","1984-1986",0.99792,0.0147111894198314,1.47111894198314
"B6Z","int","1984-1986",0.97756,0.00442709963202304,0.442709963202304
"B7Z","int","1984-1986",0.20404,0.00267357046399105,0.267357046399105
"C0Z","int","1984-1986",1.88997,0.0247807264250914,2.47807264250914
"C1Z","int","1984-1986",1.56735,0.0206644340349893,2.06644340349893
"C2Z","int","1984-1986",1.4967,0.00890119089334486,0.890119089334486
"D0Z","int","1984-1986",1.8141,0.0225871015336344,2.25871015336344
"D1Z","int","1984-1986",0.78057,0.00538974177960288,0.538974177960288
"D2Z","int","1984-1986",4.45361,0.0250984442223045,2.50984442223045
"D3Z","int","1984-1986",5.29447,0.0161101417180181,1.61101417180181
"D4Z","int","1984-1986",1.31266,0.00896032245310756,0.896032245310756
"D6Z","int","1984-1986",2.23777,0.00793811465298484,0.793811465298484
