"Fap3","rep_sousempl","annee","effectif","pourcentage","part"
"A0Z",1,"2003-2005",24.5,0.0361261022147513,3.61261022147513
"A1Z",1,"2003-2005",23.09,0.0711665896131916,7.11665896131916
"A2Z",1,"2003-2005",1.03,0.0199689802248934,1.99689802248934
"A3Z",1,"2003-2005",1.48,0.0536426241391809,5.36426241391809
"B0Z",1,"2003-2005",8.7,0.0475435816164818,4.75435816164818
"B1Z",1,"2003-2005",2.08,0.0193614446616401,1.93614446616401
"B2Z",1,"2003-2005",8.68,0.0235096557514694,2.35096557514694
"B3Z",1,"2003-2005",6.53,0.0431307793923382,4.31307793923382
"B4Z",1,"2003-2005",7.05,0.0134104354111582,1.34104354111582
"B5Z",1,"2003-2005",1.27,0.0175827218607227,1.75827218607227
"B6Z",1,"2003-2005",3.25,0.012952335405707,1.2952335405707
"B7Z",1,"2003-2005",1.51,0.0148286359618973,1.48286359618973
"C0Z",1,"2003-2005",0.91,0.0208763477861895,2.08763477861895
"C1Z",1,"2003-2005",0.74,0.0111244738424534,1.11244738424534
"C2Z",1,"2003-2005",0.3,0.00218134225259943,0.218134225259943
"D0Z",1,"2003-2005",0.59,0.0108197322574729,1.08197322574729
"D1Z",1,"2003-2005",0.86,0.00611881892564923,0.611881892564923
"D2Z",1,"2003-2005",0.58,0.00357318876293741,0.357318876293741
"D3Z",1,"2003-2005",5.18,0.0230468054814024,2.30468054814024
"D4Z",1,"2003-2005",1.42,0.00810733656865544,0.810733656865544
"D6Z",1,"2003-2005",1.63,0.00685305865040992,0.685305865040992
"E0Z",1,"2003-2005",5.97,0.0231565881850976,2.31565881850976
"E1Z",1,"2003-2005",5.19,0.0154358623561253,1.54358623561253
"E2Z",1,"2003-2005",0.37,0.00169189263340802,0.169189263340802
"ENS",1,"2003-2005",1274.4,0.0513159166317688,5.13159166317688
"F0Z",1,"2003-2005",1.5,0.0343485230135104,3.43485230135104
"F1Z",1,"2003-2005",3.86,0.039207719654647,3.9207719654647
"F2Z",1,"2003-2005",0.9,0.026650873556411,2.6650873556411
"F3Z",1,"2003-2005",1.36,0.0168275179411037,1.68275179411037
"F4Z",1,"2003-2005",1.43,0.0151724137931034,1.51724137931034
"F5Z",1,"2003-2005",0.28,0.00630488628687233,0.630488628687233
"G0A",1,"2003-2005",2.67,0.0103268226648617,1.03268226648617
