"Fap3","Annee","Salaire_median"
"A0Z","2003-2005",1083
"A1Z","2003-2005",1092
"A2Z","2003-2005",1626
"A3Z","2003-2005",1700
"B0Z","2003-2005",1169
"B1Z","2003-2005",1408
"B2Z","2003-2005",1268
"B3Z","2003-2005",1136
"B4Z","2003-2005",1300
"B5Z","2003-2005",1372
"B6Z","2003-2005",1678
"B7Z","2003-2005",2547
"C0Z","2003-2005",1156
"C1Z","2003-2005",1280
"C2Z","2003-2005",1585
"D0Z","2003-2005",1200
"D1Z","2003-2005",1414
"D2Z","2003-2005",1330
"D3Z","2003-2005",1192
"D4Z","2003-2005",1398
"D6Z","2003-2005",1741
"E0Z","2003-2005",1135
"E1Z","2003-2005",1367
"E2Z","2003-2005",1757
"F0Z","2003-2005",1020
"F1Z","2003-2005",1083
"F2Z","2003-2005",1067
"F3Z","2003-2005",1241
"F4Z","2003-2005",1320
"F5Z","2003-2005",1625
"G0A","2003-2005",1388
"G0B","2003-2005",1246
"G1Z","2003-2005",1683
"H0Z","2003-2005",2694
"J0Z","2003-2005",1083
"J1Z","2003-2005",1282
"J3Z","2003-2005",1393
"J4Z","2003-2005",1680
"J5Z","2003-2005",1512
"J6Z","2003-2005",2614
"K0Z","2003-2005",972
"L0Z","2003-2005",1278
"L1Z","2003-2005",1341
"L2Z","2003-2005",1285
"L3Z","2003-2005",1539
"L4Z","2003-2005",1662
"L5Z","2003-2005",2659
"L6Z","2003-2005",5000
"M0Z","2003-2005",1220
"M1Z","2003-2005",1700
"M2Z","2003-2005",2631
"N0Z","2003-2005",2726
"P0Z","2003-2005",1329
"P1Z","2003-2005",1718
"P2Z","2003-2005",2600
"P3Z","2003-2005",3800
"P4Z","2003-2005",1800
"Q0Z","2003-2005",1533
"Q1Z","2003-2005",1715
"Q2Z","2003-2005",2708
"R0Z","2003-2005",1053
"R1Z","2003-2005",1120
"R2Z","2003-2005",1662
"R3Z","2003-2005",1462
"R4Z","2003-2005",2800
"S0Z","2003-2005",1243
"S1Z","2003-2005",1200
"S2Z","2003-2005",1123
"S3Z","2003-2005",2157
"T0Z","2003-2005",1050
"T1Z","2003-2005",991
"T2A","2003-2005",1000
"T2B","2003-2005",844
"T3Z","2003-2005",1143
"T4Z","2003-2005",1157
"T6Z","2003-2005",1215
"U0Z","2003-2005",2230
"U1Z","2003-2005",1651
"V0Z","2003-2005",1362
"V1Z","2003-2005",1842
"V2Z","2003-2005",2956
"V3Z","2003-2005",1531
"V4Z","2003-2005",1604
"V5Z","2003-2005",1136
"W0Z","2003-2005",1951
"W1Z","2003-2005",1547
"X0Z","2003-2005",1243
"ZZZ","2003-2005",NA
"A0Z","2017-2019",1430
"A1Z","2017-2019",1366
"A2Z","2017-2019",2100
"A3Z","2017-2019",2085
"B0Z","2017-2019",1560
"B1Z","2017-2019",1841
"B2Z","2017-2019",1700
"B3Z","2017-2019",1500
"B4Z","2017-2019",1700
"B5Z","2017-2019",1800
"B6Z","2017-2019",2058
"B7Z","2017-2019",2808
"C0Z","2017-2019",1500
"C1Z","2017-2019",1683
"C2Z","2017-2019",2000
"D0Z","2017-2019",1538
"D1Z","2017-2019",1841
"D2Z","2017-2019",1756
"D3Z","2017-2019",1520
