"Fap","Secteur","Label_secteur","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","OZ","Administration publique",1227.72856,62.256746498966,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","HZ","Transports et entreposage",154.98272,7.85900094297736,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","PZ","Enseignement",132.92737,6.74059873370076,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","AU","Autres secteurs",456.40234,23.1436538243559,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","HZ","Transports et entreposage",30.15266,65.4242720645862,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","GZ","Commerce ; réparation d'automobiles et de motocycles",5.23752,11.3642024757919,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","NZ","Activités de services administratifs et de soutien",1.81639,3.94114461329096,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","AU","Autres secteurs",8.88131,19.270380846331,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","GZ","Commerce ; réparation d'automobiles et de motocycles",42.27131,15.433500523799,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","NZ","Activités de services administratifs et de soutien",22.99819,8.39677259615162,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","SZ","Autres activités de services",20.59071,7.51778768082641,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","AU","Autres secteurs",188.033,68.6519391992229,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","HZ","Transports et entreposage",112.38933,62.6393488590001,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","NZ","Activités de services administratifs et de soutien",36.00905,20.0693735342241,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","GZ","Commerce ; réparation d'automobiles et de motocycles",6.62367,3.69165272056425,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","AU","Autres secteurs",24.40084,13.5996248862116,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","GZ","Commerce ; réparation d'automobiles et de motocycles",17.47551,22.9645795988235,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","NZ","Activités de services administratifs et de soutien",16.0683,21.1153639789497,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","RZ","Arts, spectacles et activités récréatives",6.68933,8.79045311111365,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","AU","Autres secteurs",35.86453,47.1296033111132,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","OZ","Administration publique",306.51713,23.955720079995,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","NZ","Activités de services administratifs et de soutien",254.3019,19.8748602801118,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","PZ","Enseignement",202.66682,15.8393418645892,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","AU","Autres secteurs",516.02956,40.330077775304,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","OZ","Administration publique",294.7655,32.5849210972892,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","NZ","Activités de services administratifs et de soutien",249.07357,27.5338960152058,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
