"Fap3","Annee","Effectifs","Categorie"
"A0Z","1997",23.05,"Catégorie A"
"A1Z","1997",54.5,"Catégorie A"
"A2Z","1997",5.22,"Catégorie A"
"A3Z","1997",3.39,"Catégorie A"
"B0Z","1997",52.07,"Catégorie A"
"B1Z","1997",9.37,"Catégorie A"
"B2Z","1997",54.57,"Catégorie A"
"B3Z","1997",31.64,"Catégorie A"
"B4Z","1997",96.63,"Catégorie A"
"B5Z","1997",10.13,"Catégorie A"
"B6Z","1997",22.45,"Catégorie A"
"B7Z","1997",9.45,"Catégorie A"
"C0Z","1997",4.93,"Catégorie A"
"C1Z","1997",17.32,"Catégorie A"
"C2Z","1997",3.94,"Catégorie A"
"D0Z","1997",31.28,"Catégorie A"
"D1Z","1997",20.85,"Catégorie A"
"D2Z","1997",24,"Catégorie A"
"D3Z","1997",28.42,"Catégorie A"
"D4Z","1997",14.25,"Catégorie A"
"D6Z","1997",8.68,"Catégorie A"
"E0Z","1997",32.74,"Catégorie A"
"E1Z","1997",17.17,"Catégorie A"
"E2Z","1997",9.12,"Catégorie A"
"Ensemble","1997",NA,"Catégorie A"
"F0Z","1997",22.56,"Catégorie A"
"F1Z","1997",41.13,"Catégorie A"
"F2Z","1997",2.1,"Catégorie A"
"F3Z","1997",5.9,"Catégorie A"
"F4Z","1997",15.31,"Catégorie A"
"F5Z","1997",5.27,"Catégorie A"
"G0A","1997",37.05,"Catégorie A"
"G0B","1997",30.94,"Catégorie A"
"G1Z","1997",31.65,"Catégorie A"
"H0Z","1997",18.21,"Catégorie A"
"J0Z","1997",92.02,"Catégorie A"
"J1Z","1997",64.72,"Catégorie A"
"J3Z","1997",105.26,"Catégorie A"
"J4Z","1997",10.44,"Catégorie A"
"J5Z","1997",17.11,"Catégorie A"
"J6Z","1997",2.66,"Catégorie A"
"K0Z","1997",8.39,"Catégorie A"
"L0Z","1997",228.68,"Catégorie A"
"L1Z","1997",55.47,"Catégorie A"
"L2Z","1997",155.43,"Catégorie A"
"L3Z","1997",38.55,"Catégorie A"
"L4Z","1997",14.73,"Catégorie A"
"L5Z","1997",37.6,"Catégorie A"
"L6Z","1997",8.38,"Catégorie A"
"M0Z","1997",4.04,"Catégorie A"
"M1Z","1997",11.8,"Catégorie A"
"M2Z","1997",8.17,"Catégorie A"
"N0Z","1997",17.14,"Catégorie A"
"P0Z","1997",0.09,"Catégorie A"
"P1Z","1997",0.05,"Catégorie A"
"P2Z","1997",4.42,"Catégorie A"
"P3Z","1997",4.57,"Catégorie A"
"P4Z","1997",1.68,"Catégorie A"
"Q0Z","1997",12.95,"Catégorie A"
"Q1Z","1997",4.41,"Catégorie A"
"Q2Z","1997",2.95,"Catégorie A"
"R0Z","1997",77.3,"Catégorie A"
"R1Z","1997",209.15,"Catégorie A"
"R2Z","1997",63.13,"Catégorie A"
"R3Z","1997",12.25,"Catégorie A"
"R4Z","1997",73.18,"Catégorie A"
"S0Z","1997",26.83,"Catégorie A"
"S1Z","1997",75.15,"Catégorie A"
"S2Z","1997",79.11,"Catégorie A"
"S3Z","1997",8.77,"Catégorie A"
"T0Z","1997",27.18,"Catégorie A"
"T1Z","1997",120.41,"Catégorie A"
"T2A","1997",26.33,"Catégorie A"
"T2B","1997",76.23,"Catégorie A"
"T3Z","1997",54.04,"Catégorie A"
"T4Z","1997",208.54,"Catégorie A"
"T6Z","1997",1.13,"Catégorie A"
"U0Z","1997",31.19,"Catégorie A"
"U1Z","1997",95.88,"Catégorie A"
"V0Z","1997",27.95,"Catégorie A"
"V1Z","1997",4.56,"Catégorie A"
"V2Z","1997",3.65,"Catégorie A"
"V3Z","1997",16.6,"Catégorie A"
"V4Z","1997",17.32,"Catégorie A"
"V5Z","1997",52.87,"Catégorie A"
"W0Z","1997",22,"Catégorie A"
"W1Z","1997",15.23,"Catégorie A"
"ZZZ","1997",16.94,"Catégorie A"
"A0Z","1998",22.15,"Catégorie A"
"A1Z","1998",57.19,"Catégorie A"
"A2Z","1998",4.91,"Catégorie A"
"A3Z","1998",3.4,"Catégorie A"
"B0Z","1998",49.58,"Catégorie A"
"B1Z","1998",8.57,"Catégorie A"
"B2Z","1998",47.55,"Catégorie A"
"B3Z","1998",31.25,"Catégorie A"
"B4Z","1998",86.72,"Catégorie A"
"B5Z","1998",9.13,"Catégorie A"
"B6Z","1998",19.97,"Catégorie A"
"B7Z","1998",9.22,"Catégorie A"
"C0Z","1998",4.95,"Catégorie A"
"C1Z","1998",15.38,"Catégorie A"
"C2Z","1998",3.63,"Catégorie A"
"D0Z","1998",26.87,"Catégorie A"
"D1Z","1998",17.89,"Catégorie A"
"D2Z","1998",21.13,"Catégorie A"
"D3Z","1998",27.95,"Catégorie A"
"D4Z","1998",12.94,"Catégorie A"
"D6Z","1998",7.6,"Catégorie A"
"E0Z","1998",36.57,"Catégorie A"
"E1Z","1998",17.13,"Catégorie A"
"E2Z","1998",9.11,"Catégorie A"
"Ensemble","1998",NA,"Catégorie A"
"F0Z","1998",21.31,"Catégorie A"
"F1Z","1998",40.28,"Catégorie A"
"F2Z","1998",2.2,"Catégorie A"
"F3Z","1998",5.57,"Catégorie A"
"F4Z","1998",14.12,"Catégorie A"
"F5Z","1998",5.11,"Catégorie A"
"G0A","1998",35.7,"Catégorie A"
"G0B","1998",27.79,"Catégorie A"
"G1Z","1998",30.52,"Catégorie A"
"H0Z","1998",17,"Catégorie A"
"J0Z","1998",85.85,"Catégorie A"
"J1Z","1998",62.19,"Catégorie A"
"J3Z","1998",95.34,"Catégorie A"
"J4Z","1998",10.13,"Catégorie A"
"J5Z","1998",17.19,"Catégorie A"
"J6Z","1998",2.51,"Catégorie A"
"K0Z","1998",8.73,"Catégorie A"
"L0Z","1998",214.13,"Catégorie A"
"L1Z","1998",49.63,"Catégorie A"
"L2Z","1998",148.07,"Catégorie A"
"L3Z","1998",37.32,"Catégorie A"
"L4Z","1998",13.7,"Catégorie A"
"L5Z","1998",36.8,"Catégorie A"
"L6Z","1998",8.73,"Catégorie A"
"M0Z","1998",3.15,"Catégorie A"
"M1Z","1998",10.71,"Catégorie A"
"M2Z","1998",6.82,"Catégorie A"
"N0Z","1998",15.17,"Catégorie A"
"P0Z","1998",0.08,"Catégorie A"
"P1Z","1998",0.05,"Catégorie A"
"P2Z","1998",5.25,"Catégorie A"
"P3Z","1998",4.63,"Catégorie A"
"P4Z","1998",1.71,"Catégorie A"
"Q0Z","1998",12.54,"Catégorie A"
"Q1Z","1998",4.47,"Catégorie A"
"Q2Z","1998",3.11,"Catégorie A"
"R0Z","1998",79.64,"Catégorie A"
"R1Z","1998",209.39,"Catégorie A"
"R2Z","1998",59.43,"Catégorie A"
"R3Z","1998",11.88,"Catégorie A"
"R4Z","1998",71.69,"Catégorie A"
"S0Z","1998",24.68,"Catégorie A"
"S1Z","1998",73.57,"Catégorie A"
"S2Z","1998",76.45,"Catégorie A"
"S3Z","1998",8.78,"Catégorie A"
"T0Z","1998",26.25,"Catégorie A"
"T1Z","1998",118.38,"Catégorie A"
"T2A","1998",27.59,"Catégorie A"
"T2B","1998",81.5,"Catégorie A"
"T3Z","1998",53.61,"Catégorie A"
"T4Z","1998",210.05,"Catégorie A"
"T6Z","1998",1.15,"Catégorie A"
"U0Z","1998",31.39,"Catégorie A"
"U1Z","1998",101.1,"Catégorie A"
"V0Z","1998",28.55,"Catégorie A"
"V1Z","1998",4.9,"Catégorie A"
"V2Z","1998",3.54,"Catégorie A"
"V3Z","1998",16.44,"Catégorie A"
