"Fap","Specialite","Label_spedipl","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P",128,"Droit, sciences politiques",18.46626,16.1968085386309,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",310,"Spécialités plurivalentes des échanges et de la gestion",15.47431,13.572560785856,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",120,"Spécialités pluridisciplinaires sciences humaines et droit",14.40247,12.632446909844,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",324,"Secrétariat, bureautique",12.24383,10.7390976997803,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",312,"Commerce, vente",12.11305,10.6243901942713,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",314,"Comptabilité, gestion",10.7215,9.40385777883186,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",110,"Spécialités pluri-scientifiques",10.28888,9.02440556111249,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",345,"Application des droits et statuts des personnes",7.56148,6.63219535675806,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",255,"Électricité, électronique",6.65631,5.83826820611074,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P",330,"Spécialités plurivalentes sanitaires et sociales",6.08363,5.33596896880426,"Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61",311,"Transport, manutention, magasinage",1.63107,28.8074645397273,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",310,"Spécialités plurivalentes des échanges et de la gestion",1.10657,19.5439043301183,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",314,"Comptabilité, gestion",0.97907,17.292037930261,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",312,"Commerce, vente",0.85701,15.1362511634643,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",331,"Santé",0.44435,7.84797517471834,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",123,"Sciences sociales",0.36978,6.53094241050376,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61",336,"Coiffure, esthétique et autres spécialités des services aux personnes",0.27412,4.84142445120691,"Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61",312,"Commerce, vente",8.40046,33.0404562165164,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61",310,"Spécialités plurivalentes des échanges et de la gestion",6.42951,25.2883703569393,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61",314,"Comptabilité, gestion",4.08191,16.0548551668314,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61",324,"Secrétariat, bureautique",2.99047,11.762033638849,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61",330,"Spécialités plurivalentes sanitaires et sociales",1.76678,6.9490500799024,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61",128,"Droit, sciences politiques",1.75564,6.90523454096143,"Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z",312,"Commerce, vente",5.82394,30.0277543040311,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",334,"Accueil, hôtellerie, tourisme",5.69767,29.3767165982906,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",311,"Transport, manutention, magasinage",2.47211,12.7459952699613,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",310,"Spécialités plurivalentes des échanges et de la gestion",1.88122,9.69941516427527,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",314,"Comptabilité, gestion",1.39695,7.20255898498545,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",120,"Spécialités pluridisciplinaires sciences humaines et droit",1.18428,6.1060500051817,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z",136,"Langues vivantes, civilisations étrangères et régionales",0.93902,4.84150967327466,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60",330,"Spécialités plurivalentes sanitaires et sociales",2.04888,16.9249755899307,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",130,"Spécialités littéraires et artistiques plurivalentes",1.92001,15.8604322275696,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",312,"Commerce, vente",1.45973,12.0582438297458,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",324,"Secrétariat, bureautique",1.11089,9.17661655787458,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",336,"Coiffure, esthétique et autres spécialités des services aux personnes",1.0551,8.71575775298497,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",310,"Spécialités plurivalentes des échanges et de la gestion",0.92975,7.68029169826346,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",242,"Habillement",0.78573,6.49060026466958,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",334,"Accueil, hôtellerie, tourisme",0.75941,6.27318130527373,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",136,"Langues vivantes, civilisations étrangères et régionales",0.71476,5.90434557058434,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",120,"Spécialités pluridisciplinaires sciences humaines et droit",0.70793,5.84792568104506,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60",134,"Autres disciplines artistiques et spécialités artistiques plurivalentes",0.61347,5.06762952205828,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z",330,"Spécialités plurivalentes sanitaires et sociales",22.89054,32.6536987893595,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",312,"Commerce, vente",8.87661,12.6626173611726,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",332,"Travail social",7.08502,10.1068873428319,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",331,"Santé",5.71527,8.15291841432586,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",343,"Nettoyage, assainissement, protection environnement",4.83122,6.89180782389273,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",221,"Agro-alimentaire, alimentation, cuisine",4.79861,6.84528916956998,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",334,"Accueil, hôtellerie, tourisme",4.42713,6.31536737540212,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",324,"Secrétariat, bureautique",4.04464,5.76973965102593,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",310,"Spécialités plurivalentes des échanges et de la gestion",4.00294,5.71025397530503,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z",130,"Spécialités littéraires et artistiques plurivalentes",3.42893,4.89142009711429,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",330,"Spécialités plurivalentes sanitaires et sociales",8.93261,18.8119502060707,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",312,"Commerce, vente",6.37068,13.416561893871,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",332,"Travail social",4.88487,10.2874670676464,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",221,"Agro-alimentaire, alimentation, cuisine",3.74,7.87638705492622,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",331,"Santé",3.15208,6.63823585777856,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",314,"Comptabilité, gestion",2.96034,6.23443413213376,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",324,"Secrétariat, bureautique",2.91781,6.14486655420702,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",130,"Spécialités littéraires et artistiques plurivalentes",2.72722,5.74348671228232,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",343,"Nettoyage, assainissement, protection environnement",2.62965,5.53800567352586,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",334,"Accueil, hôtellerie, tourisme",2.51253,5.29135261152774,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",310,"Spécialités plurivalentes des échanges et de la gestion",2.44684,5.15301040146408,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",120,"Spécialités pluridisciplinaires sciences humaines et droit",2.23485,4.70656246248713,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60",255,"Électricité, électronique",1.97422,4.15767937207926,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z",110,"Spécialités pluri-scientifiques",2.80371,24.7467258389955,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",311,"Transport, manutention, magasinage",2.42655,21.4177527578154,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",255,"Électricité, électronique",1.30321,11.5026805841679,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",310,"Spécialités plurivalentes des échanges et de la gestion",1.10787,9.77852743516552,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",343,"Nettoyage, assainissement, protection environnement",0.90828,8.01686199537142,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",312,"Commerce, vente",0.62944,5.55570266257827,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",334,"Accueil, hôtellerie, tourisme",0.58572,5.16981152059822,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",200,"Technologies industrielles fondamentales",0.55739,4.91975900339111,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",233,"Bâtiment : finitions",0.5439,4.80069057920742,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z",122,"Économie",0.46355,4.09148762270932,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",110,"Spécialités pluri-scientifiques",0.90375,40.8413660335408,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",250,"Spécialités pluritechnologiques mécanique-électricité",0.39904,18.033016544425,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",200,"Technologies industrielles fondamentales",0.30069,13.588481717981,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",310,"Spécialités plurivalentes des échanges et de la gestion",0.25641,11.5874242485867,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",311,"Transport, manutention, magasinage",0.14056,6.35204692633415,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",118,"Sciences de la vie",0.12399,5.60323206030287,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40",251,"Mécanique générale et de précision, usinage",0.08839,3.99443246882951,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z",344,"Sécurité des biens et des personnes, police, surveillance",4.49745,40.3733872907922,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",312,"Commerce, vente",1.46928,13.1896542437637,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",310,"Spécialités plurivalentes des échanges et de la gestion",1.39556,12.5278734321755,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",255,"Électricité, électronique",1.09208,9.80354840910478,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",254,"Structures métalliques",0.82177,7.37698884344557,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",311,"Transport, manutention, magasinage",0.69366,6.22695167886934,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",251,"Mécanique générale et de précision, usinage",0.59785,5.36687002452503,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z",314,"Comptabilité, gestion",0.57199,5.13472607732386,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80",250,"Spécialités pluritechnologiques mécanique-électricité",0.21308,41.0732873279618,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80",255,"Électricité, électronique",0.14864,28.6518370021975,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80",211,"Productions végétales, cultures spécialisées et protection des cultures",0.08514,16.4115810170014,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80",252,"Moteurs et mécanique auto",0.07192,13.8632946528394,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80",221,"Agro-alimentaire, alimentation, cuisine",2.04022,45.6165847594432,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80",222,"Transformations chimiques et apparentées",0.71028,15.8809088348008,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80",312,"Commerce, vente",0.35242,7.879638862928,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80",255,"Électricité, électronique",0.34462,7.70524131701449,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80",343,"Nettoyage, assainissement, protection environnement",0.31851,7.12145671139889,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
