"Fap","annee","Pourcentage","Temps_travail","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"P","2017-2019",1.97,"dont sous-emploi","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","2017-2019",39.52,"Temps complet travaillant plus de 40h par semaine","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"P","2017-2019",13.29,"Temps partiel","Administration publique, professions juridiques, armée et police","P","Administration publique, professions juridiques, armée et police",NA,NA
"J5Z61","2017-2019",3.54,"dont sous-emploi","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","2017-2019",18.11,"Temps complet travaillant plus de 40h par semaine","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z61","2017-2019",11.16,"Temps partiel","Agents administratifs des transports","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z61","2017-2019",5.1,"dont sous-emploi","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","2017-2019",13.69,"Temps complet travaillant plus de 40h par semaine","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z61","2017-2019",21.18,"Temps partiel","Agents administratifs divers","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"J5Z","2017-2019",3.95,"dont sous-emploi","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","2017-2019",19.95,"Temps complet travaillant plus de 40h par semaine","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","2017-2019",17.3,"Temps partiel","Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","2017-2019",15.38,"dont sous-emploi","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","2017-2019",7.75,"Temps complet travaillant plus de 40h par semaine","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","2017-2019",38.38,"Temps partiel","Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","2017-2019",16.8,"dont sous-emploi","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","2017-2019",14.95,"Temps complet travaillant plus de 40h par semaine","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
