fap,Emploi moyen,Tension ,Catégorie Tension,Intensité d'embauches,Lien formation-emploi,Manque de main-d'œuvre disponible,Non-durabilité de l'emploi,Conditions de travail contraignantes,Inadéquation géographique,Année,niveau_geo,niveau_fap,reg,dep
A0Z40,63100,-0.006062928049646171,3.0,5.0,3.0,2.0,5.0,4.0,5.0,2019,nat,fap 225,,
A0Z41,40400,0.1877147124282795,4.0,4.0,4.0,2.0,4.0,5.0,5.0,2019,nat,fap 225,,
A0Z42,19500,0.5500147570977293,5.0,4.0,5.0,3.0,3.0,5.0,5.0,2019,nat,fap 225,,
A0Z43,11700,0.7231592940063919,5.0,5.0,5.0,3.0,5.0,3.0,4.0,2019,nat,fap 225,,
A1Z40,36500,0.05434496150881127,3.0,5.0,1.0,1.0,5.0,4.0,3.0,2019,nat,fap 225,,
A1Z41,147300,-0.2707896727214246,2.0,4.0,3.0,1.0,4.0,4.0,4.0,2019,nat,fap 225,,
A1Z42,65200,-0.2259137491217744,3.0,5.0,1.0,1.0,5.0,4.0,5.0,2019,nat,fap 225,,
A2Z70,56300,0.4837524170181019,4.0,1.0,4.0,4.0,2.0,3.0,4.0,2019,nat,fap 225,,
A2Z90,13200,0.3359285739992681,4.0,2.0,5.0,3.0,1.0,1.0,5.0,2019,nat,fap 225,,
A3Z40,7000,0.6545469636547366,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2019,nat,fap 225,,
A3Z41,3900,-0.6159720098023294,1.0,5.0,5.0,1.0,5.0,5.0,5.0,2019,nat,fap 225,,
A3Z90,6300,-0.5144705459573088,2.0,1.0,5.0,3.0,5.0,5.0,5.0,2019,nat,fap 225,,
B0Z20,89000,0.2379967304101718,4.0,5.0,1.0,1.0,4.0,4.0,3.0,2019,nat,fap 225,,
B0Z21,88100,0.7140638489725036,5.0,5.0,1.0,2.0,4.0,3.0,3.0,2019,nat,fap 225,,
B1Z40,81700,0.7814603126960722,5.0,4.0,1.0,4.0,4.0,4.0,4.0,2019,nat,fap 225,,
B2Z40,176300,0.8993807283213173,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2019,nat,fap 225,,
B2Z41,10700,1.001946739077459,5.0,2.0,4.0,4.0,3.0,3.0,5.0,2019,nat,fap 225,,
B2Z42,14200,1.449807874286635,5.0,4.0,1.0,3.0,3.0,5.0,5.0,2019,nat,fap 225,,
B2Z43,22800,1.462682560150427,5.0,3.0,5.0,3.0,3.0,3.0,4.0,2019,nat,fap 225,,
B2Z44,29700,1.708333753390754,5.0,5.0,4.0,3.0,3.0,4.0,3.0,2019,nat,fap 225,,
B3Z20,122900,0.675580586442926,5.0,5.0,1.0,1.0,3.0,4.0,3.0,2019,nat,fap 225,,
B4Z41,71700,1.397564169465477,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2019,nat,fap 225,,
